DateTime,Timestamp,Trial,MoveNumber,From,To,MoveDurationSeconds,HelpUsed,ErrorsThisMove,ErrorDetails
2026-07-27_16-21-21.627,1785194481.627,1,1,A,B,9,FALSE,0,
2026-07-27_16-21-34.213,1785194494.213,1,2,A,C,12,FALSE,0,
2026-07-27_16-21-51.343,1785194511.343,1,3,B,C,17,FALSE,0,
2026-07-27_16-22-03.731,1785194523.731,1,4,A,B,12,FALSE,0,
2026-07-27_16-22-23.806,1785194543.806,1,5,C,A,20,FALSE,0,
2026-07-27_16-22-36.352,1785194556.352,1,6,C,B,12,FALSE,0,
2026-07-27_16-22-47.182,1785194567.182,1,7,A,B,10,FALSE,0,
2026-07-27_16-23-02.271,1785194582.271,1,8,A,C,15,FALSE,0,
2026-07-27_16-23-31.638,1785194611.638,1,9,B,C,29,FALSE,0,
2026-07-27_16-23-43.345,1785194623.345,1,10,B,A,11,FALSE,0,
2026-07-27_16-24-02.510,1785194642.510,1,11,C,A,19,FALSE,0,
2026-07-27_16-24-14.652,1785194654.652,1,12,B,C,12,FALSE,0,
2026-07-27_16-24-25.301,1785194665.301,1,13,A,B,10,FALSE,0,
2026-07-27_16-24-37.705,1785194677.705,1,14,A,C,12,FALSE,0,
2026-07-27_16-24-49.837,1785194689.837,1,15,B,C,12,FALSE,0,
2026-07-27_16-25-14.647,1785194714.647,1,16,A,B,24,FALSE,0,
2026-07-27_16-25-33.451,1785194733.451,1,17,C,A,18,FALSE,0,
2026-07-27_16-25-53.892,1785194753.892,1,18,C,B,20,FALSE,0,
2026-07-27_16-26-22.928,1785194782.928,1,19,A,C,29,FALSE,0,
2026-07-27_16-27-00.358,1785194820.358,1,20,C,A,37,FALSE,0,
2026-07-27_16-27-21.251,1785194841.251,1,21,B,C,20,FALSE,0,
2026-07-27_16-27-39.493,1785194859.493,1,22,A,B,18,FALSE,0,
2026-07-27_16-27-52.547,1785194872.547,1,23,C,A,13,FALSE,0,
2026-07-27_16-28-05.232,1785194885.232,1,24,B,A,12,FALSE,0,
2026-07-27_16-28-16.874,1785194896.874,1,25,C,B,11,FALSE,0,
2026-07-27_16-28-31.618,1785194911.618,1,26,A,B,14,FALSE,0,
2026-07-27_16-28-47.063,1785194927.063,1,27,A,C,15,FALSE,0,
2026-07-27_16-29-12.925,1785194952.925,1,28,B,C,25,FALSE,0,
2026-07-27_16-29-27.191,1785194967.191,1,29,B,A,14,FALSE,0,
2026-07-27_16-29-43.325,1785194983.325,1,30,C,B,16,FALSE,0,
2026-07-27_16-29-56.443,1785194996.443,1,31,C,A,13,FALSE,0,
2026-07-27_16-30-08.057,1785195008.057,1,32,B,A,11,FALSE,0,
2026-07-27_16-30-20.370,1785195020.370,1,33,C,B,12,FALSE,0,
2026-07-27_16-30-47.195,1785195047.195,1,34,A,B,26,FALSE,0,
2026-07-27_16-30-59.459,1785195059.459,1,35,A,C,12,FALSE,0,
2026-07-27_16-31-10.612,1785195070.612,1,36,B,A,11,FALSE,0,
2026-07-27_16-31-23.205,1785195083.205,1,37,C,B,12,FALSE,0,
2026-07-27_16-31-53.711,1785195113.711,1,38,A,B,30,FALSE,0,
2026-07-27_16-32-10.073,1785195130.073,1,39,A,C,16,FALSE,0,
2026-07-27_16-32-26.899,1785195146.899,1,40,B,C,16,FALSE,0,
2026-07-27_16-32-57.764,1785195177.764,1,41,B,A,30,FALSE,0,
2026-07-27_16-33-14.138,1785195194.138,1,42,C,A,16,FALSE,0,
2026-07-27_16-33-27.080,1785195207.080,1,43,C,B,12,FALSE,0,
2026-07-27_16-33-40.932,1785195220.932,1,44,A,C,13,FALSE,0,
2026-07-27_16-33-54.776,1785195234.776,1,45,A,B,13,FALSE,0,
2026-07-27_16-34-06.861,1785195246.861,1,46,C,B,12,FALSE,0,
2026-07-27_16-34-20.245,1785195260.245,1,47,A,C,13,FALSE,0,
2026-07-27_16-34-44.814,1785195284.814,1,48,B,C,24,FALSE,0,
2026-07-27_16-34-55.310,1785195295.310,1,49,B,A,10,FALSE,0,
2026-07-27_16-35-18.472,1785195318.472,1,50,C,A,23,FALSE,0,
2026-07-27_16-35-31.099,1785195331.099,1,51,B,C,12,FALSE,0,
2026-07-27_16-35-45.742,1785195345.742,1,52,A,B,14,FALSE,0,
2026-07-27_16-35-58.518,1785195358.518,1,53,A,C,12,FALSE,0,
2026-07-27_16-36-26.204,1785195386.204,1,54,B,A,27,FALSE,0,
2026-07-27_16-36-46.080,1785195406.080,1,55,C,B,19,FALSE,0,
2026-07-27_16-37-25.157,1785195445.157,1,56,B,C,39,FALSE,0,
2026-07-27_16-37-42.683,1785195462.683,1,57,A,C,17,FALSE,0,
2026-07-27_16-37-54.180,1785195474.180,1,58,B,A,11,FALSE,0,
2026-07-27_16-38-10.323,1785195490.323,1,59,C,A,16,FALSE,0,
2026-07-27_16-38-21.362,1785195501.362,1,60,C,B,11,FALSE,0,
2026-07-27_16-38-35.316,1785195515.316,1,61,A,B,13,FALSE,0,
2026-07-27_16-38-52.792,1785195532.792,1,62,C,A,17,FALSE,0,
2026-07-27_16-39-20.209,1785195560.209,1,63,A,C,27,FALSE,0,
2026-07-27_16-39-31.084,1785195571.084,1,64,B,A,10,FALSE,0,
2026-07-27_16-39-43.329,1785195583.329,1,65,B,C,12,FALSE,0,
2026-07-27_16-39-55.765,1785195595.765,1,66,A,C,12,FALSE,0,
2026-07-27_16-40-14.147,1785195614.147,1,67,C,A,18,TRUE,0,
2026-07-27_16-40-31.350,1785195631.350,1,68,C,B,17,FALSE,0,
2026-07-27_16-41-08.981,1785195668.981,1,69,A,B,37,FALSE,0,
