Timestamp,Local time,Action Eye,Action Upper Face,Power Upper Face,Action Lower Face,Power Lower Face
1783968000.7853,11:40:00.785,neutral,frown,0.839794,neutral,0.0
1783968000.8167,11:40:00.816,neutral,frown,0.839794,neutral,0.0
1783968000.848,11:40:00.848,neutral,frown,0.839794,neutral,0.0
1783968000.8793,11:40:00.879,neutral,frown,0.523352,neutral,0.0
1783968000.9107,11:40:00.910,neutral,frown,0.523352,neutral,0.0
1783968000.9418,11:40:00.941,neutral,frown,0.523352,neutral,0.0
1783968000.973,11:40:00.973,neutral,frown,0.523352,neutral,0.0
1783968001.0041,11:40:01.004,neutral,frown,0.509483,neutral,0.0
1783968001.0352,11:40:01.035,neutral,frown,0.509483,neutral,0.0
1783968001.0664,11:40:01.066,neutral,frown,0.509483,neutral,0.0
1783968001.0975,11:40:01.097,neutral,frown,0.509483,neutral,0.0
1783968001.1288,11:40:01.128,neutral,frown,0.514541,neutral,0.0
1783968001.1602,11:40:01.160,neutral,frown,0.514541,neutral,0.0
1783968001.1915,11:40:01.191,neutral,frown,0.514541,neutral,0.0
1783968001.2229,11:40:01.222,neutral,frown,0.514541,neutral,0.0
1783968001.2542,11:40:01.254,neutral,frown,0.398913,neutral,0.0
1783968001.2853,11:40:01.285,neutral,frown,0.398913,neutral,0.0
1783968001.3165,11:40:01.316,neutral,frown,0.398913,neutral,0.0
1783968001.3476,11:40:01.347,neutral,frown,0.398913,neutral,0.0
1783968001.3788,11:40:01.378,neutral,frown,0.295462,neutral,0.0
1783968001.4099,11:40:01.409,neutral,frown,0.295462,neutral,0.0
1783968001.441,11:40:01.441,blink,frown,0.295462,neutral,0.0
1783968001.4722,11:40:01.472,blink,frown,0.295462,neutral,0.0
1783968001.5033,11:40:01.503,blink,frown,0.21321,neutral,0.0
1783968001.5346,11:40:01.534,blink,frown,0.21321,neutral,0.0
1783968001.566,11:40:01.566,blink,frown,0.21321,neutral,0.0
1783968001.5973,11:40:01.597,neutral,frown,0.21321,neutral,0.0
1783968001.6287,11:40:01.628,neutral,frown,0.267144,neutral,0.0
1783968001.6598,11:40:01.659,neutral,frown,0.267144,neutral,0.0
1783968001.6909,11:40:01.690,neutral,frown,0.267144,neutral,0.0
1783968001.7221,11:40:01.722,neutral,frown,0.267144,neutral,0.0
1783968001.7532,11:40:01.753,neutral,frown,0.35967,neutral,0.0
1783968001.7844,11:40:01.784,neutral,frown,0.35967,neutral,0.0
1783968001.8155,11:40:01.815,neutral,frown,0.35967,neutral,0.0
1783968001.8466,11:40:01.846,neutral,frown,0.35967,neutral,0.0
1783968001.8778,11:40:01.877,neutral,frown,0.423168,neutral,0.0
1783968001.9091,11:40:01.909,neutral,frown,0.423168,neutral,0.0
1783968001.9404,11:40:01.940,neutral,frown,0.423168,neutral,0.0
1783968001.9718,11:40:01.971,neutral,frown,0.423168,neutral,0.0
1783968002.0031,11:40:02.003,neutral,frown,0.167064,neutral,0.0
1783968002.0343,11:40:02.034,neutral,frown,0.167064,neutral,0.0
1783968002.0656,11:40:02.065,neutral,frown,0.167064,neutral,0.0
1783968002.0969,11:40:02.096,neutral,frown,0.167064,neutral,0.0
1783968002.1281,11:40:02.128,neutral,frown,0.091105,neutral,0.0
1783968002.1592,11:40:02.159,blink,frown,0.091105,neutral,0.0
1783968002.1903,11:40:02.190,blink,frown,0.091105,neutral,0.0
1783968002.2215,11:40:02.221,blink,frown,0.091105,neutral,0.0
1783968002.2526,11:40:02.252,blink,frown,0.156329,neutral,0.0
1783968002.284,11:40:02.284,blink,frown,0.156329,neutral,0.0
1783968002.3153,11:40:02.315,neutral,frown,0.156329,neutral,0.0
1783968002.3466,11:40:02.346,neutral,frown,0.156329,neutral,0.0
1783968002.378,11:40:02.378,neutral,frown,0.578926,neutral,0.0
1783968002.4093,11:40:02.409,neutral,frown,0.578926,neutral,0.0
1783968002.4405,11:40:02.440,neutral,frown,0.578926,neutral,0.0
1783968002.4716,11:40:02.471,neutral,frown,0.578926,neutral,0.0
1783968002.5027,11:40:02.502,neutral,frown,0.836586,neutral,0.0
1783968002.5339,11:40:02.533,neutral,frown,0.836586,neutral,0.0
1783968002.565,11:40:02.565,neutral,frown,0.836586,neutral,0.0
1783968002.5961,11:40:02.596,blink,frown,0.836586,neutral,0.0
1783968002.6275,11:40:02.627,blink,frown,1.0,neutral,0.0
1783968002.6588,11:40:02.658,blink,frown,1.0,neutral,0.0
1783968002.6902,11:40:02.690,blink,frown,1.0,neutral,0.0
1783968002.7215,11:40:02.721,blink,frown,1.0,neutral,0.0
1783968002.7528,11:40:02.752,neutral,frown,0.874354,neutral,0.0
1783968002.784,11:40:02.784,neutral,frown,0.874354,neutral,0.0
1783968002.8151,11:40:02.815,neutral,frown,0.874354,neutral,0.0
1783968002.8463,11:40:02.846,neutral,frown,0.874354,neutral,0.0
1783968002.8774,11:40:02.877,neutral,frown,0.725711,neutral,0.0
1783968002.9085,11:40:02.908,neutral,frown,0.725711,neutral,0.0
1783968002.9397,11:40:02.939,neutral,frown,0.725711,neutral,0.0
1783968002.9708,11:40:02.970,neutral,frown,0.725711,neutral,0.0
1783968003.0019,11:40:03.001,neutral,frown,0.805365,neutral,0.0
1783968003.0333,11:40:03.033,neutral,frown,0.805365,neutral,0.0
1783968003.0646,11:40:03.064,neutral,frown,0.805365,neutral,0.0
1783968003.096,11:40:03.096,neutral,frown,0.805365,neutral,0.0
1783968003.1273,11:40:03.127,neutral,frown,0.786696,neutral,0.0
1783968003.1586,11:40:03.158,neutral,frown,0.786696,neutral,0.0
1783968003.19,11:40:03.190,neutral,frown,0.786696,neutral,0.0
1783968003.2213,11:40:03.221,neutral,frown,0.786696,neutral,0.0
1783968003.2525,11:40:03.252,neutral,frown,0.777152,neutral,0.0
1783968003.2836,11:40:03.283,neutral,frown,0.777152,neutral,0.0
1783968003.3147,11:40:03.314,neutral,frown,0.777152,neutral,0.0
1783968003.3459,11:40:03.345,neutral,frown,0.777152,neutral,0.0
1783968003.3772,11:40:03.377,neutral,frown,0.469272,neutral,0.0
1783968003.4085,11:40:03.408,neutral,frown,0.469272,neutral,0.0
1783968003.4399,11:40:03.439,neutral,frown,0.469272,neutral,0.0
1783968003.4712,11:40:03.471,neutral,frown,0.469272,neutral,0.0
1783968003.5026,11:40:03.502,neutral,frown,0.360064,neutral,0.0
1783968003.5339,11:40:03.533,neutral,frown,0.360064,neutral,0.0
1783968003.5652,11:40:03.565,winkL,frown,0.360064,neutral,0.0
1783968003.5966,11:40:03.596,winkL,frown,0.360064,neutral,0.0
1783968003.6277,11:40:03.627,winkL,frown,0.28206,neutral,0.0
1783968003.6589,11:40:03.658,winkL,frown,0.28206,neutral,0.0
1783968003.69,11:40:03.690,winkL,frown,0.28206,neutral,0.0
1783968003.7211,11:40:03.721,winkL,frown,0.28206,neutral,0.0
1783968003.7523,11:40:03.752,winkL,frown,0.270652,neutral,0.0
1783968003.7836,11:40:03.783,winkL,frown,0.270652,neutral,0.0
1783968003.8149,11:40:03.814,winkL,frown,0.270652,neutral,0.0
1783968003.8463,11:40:03.846,winkL,frown,0.270652,neutral,0.0
1783968003.8776,11:40:03.877,neutral,frown,0.250945,neutral,0.0
1783968003.909,11:40:03.909,neutral,frown,0.250945,neutral,0.0
1783968003.9403,11:40:03.940,neutral,frown,0.250945,neutral,0.0
1783968003.9716,11:40:03.971,neutral,frown,0.250945,neutral,0.0
1783968004.0028,11:40:04.002,neutral,frown,0.168669,neutral,0.0
1783968004.0339,11:40:04.033,neutral,frown,0.168669,neutral,0.0
1783968004.0651,11:40:04.065,neutral,frown,0.168669,neutral,0.0
1783968004.0962,11:40:04.096,neutral,frown,0.168669,neutral,0.0
1783968004.1273,11:40:04.127,neutral,frown,0.136948,neutral,0.0
1783968004.1587,11:40:04.158,neutral,frown,0.136948,neutral,0.0
1783968004.19,11:40:04.190,neutral,frown,0.136948,neutral,0.0
1783968004.2214,11:40:04.221,neutral,frown,0.136948,neutral,0.0
1783968004.2527,11:40:04.252,neutral,neutral,0.0,laugh,0.141182
1783968004.284,11:40:04.284,neutral,neutral,0.0,laugh,0.141182
1783968004.3154,11:40:04.315,neutral,neutral,0.0,laugh,0.141182
1783968004.3467,11:40:04.346,blink,neutral,0.0,laugh,0.141182
1783968004.3778,11:40:04.377,blink,neutral,0.0,laugh,0.133479
1783968004.409,11:40:04.409,blink,neutral,0.0,laugh,0.133479
1783968004.4401,11:40:04.440,blink,neutral,0.0,laugh,0.133479
1783968004.4713,11:40:04.471,blink,neutral,0.0,laugh,0.133479
1783968004.5024,11:40:04.502,neutral,frown,0.373226,neutral,0.0
1783968004.5337,11:40:04.533,neutral,frown,0.373226,neutral,0.0
1783968004.5651,11:40:04.565,neutral,frown,0.373226,neutral,0.0
1783968004.5964,11:40:04.596,neutral,frown,0.373226,neutral,0.0
1783968004.6278,11:40:04.627,neutral,neutral,0.0,laugh,0.311218
1783968004.6591,11:40:04.659,neutral,neutral,0.0,laugh,0.311218
1783968004.6904,11:40:04.690,neutral,neutral,0.0,laugh,0.311218
1783968004.7216,11:40:04.721,neutral,neutral,0.0,laugh,0.311218
1783968004.7527,11:40:04.752,neutral,frown,0.209855,neutral,0.0
1783968004.7838,11:40:04.783,neutral,frown,0.209855,neutral,0.0
1783968004.815,11:40:04.815,neutral,frown,0.209855,neutral,0.0
1783968004.8461,11:40:04.846,neutral,frown,0.209855,neutral,0.0
1783968004.8773,11:40:04.877,neutral,frown,0.551135,neutral,0.0
1783968004.9086,11:40:04.908,neutral,frown,0.551135,neutral,0.0
1783968004.9399,11:40:04.939,neutral,frown,0.551135,neutral,0.0
1783968004.9713,11:40:04.971,neutral,frown,0.551135,neutral,0.0
1783968005.0026,11:40:05.002,neutral,surprise,0.507871,neutral,0.0
1783968005.034,11:40:05.034,neutral,surprise,0.507871,neutral,0.0
1783968005.0653,11:40:05.065,neutral,surprise,0.507871,neutral,0.0
1783968005.0966,11:40:05.096,neutral,surprise,0.507871,neutral,0.0
1783968005.1278,11:40:05.127,neutral,surprise,0.646283,neutral,0.0
1783968005.1589,11:40:05.158,neutral,surprise,0.646283,neutral,0.0
1783968005.19,11:40:05.190,neutral,surprise,0.646283,neutral,0.0
1783968005.2212,11:40:05.221,neutral,surprise,0.646283,neutral,0.0
1783968005.2525,11:40:05.252,neutral,surprise,0.412617,neutral,0.0
1783968005.2837,11:40:05.283,neutral,surprise,0.412617,neutral,0.0
1783968005.315,11:40:05.315,neutral,surprise,0.412617,neutral,0.0
1783968005.3463,11:40:05.346,neutral,surprise,0.412617,neutral,0.0
1783968005.3777,11:40:05.377,neutral,surprise,0.411378,neutral,0.0
1783968005.409,11:40:05.409,neutral,surprise,0.411378,neutral,0.0
1783968005.4404,11:40:05.440,neutral,surprise,0.411378,neutral,0.0
1783968005.4717,11:40:05.471,neutral,surprise,0.411378,neutral,0.0
1783968005.5028,11:40:05.502,neutral,surprise,0.581942,neutral,0.0
1783968005.534,11:40:05.534,neutral,surprise,0.581942,neutral,0.0
1783968005.5651,11:40:05.565,neutral,surprise,0.581942,neutral,0.0
1783968005.5962,11:40:05.596,neutral,surprise,0.581942,neutral,0.0
1783968005.6276,11:40:05.627,neutral,surprise,0.715471,neutral,0.0
1783968005.6587,11:40:05.658,neutral,surprise,0.715471,neutral,0.0
1783968005.6901,11:40:05.690,neutral,surprise,0.715471,neutral,0.0
1783968005.7214,11:40:05.721,neutral,surprise,0.715471,neutral,0.0
1783968005.7527,11:40:05.752,neutral,surprise,0.571329,neutral,0.0
1783968005.7841,11:40:05.784,neutral,surprise,0.571329,neutral,0.0
1783968005.8154,11:40:05.815,neutral,surprise,0.571329,neutral,0.0
1783968005.8468,11:40:05.846,neutral,surprise,0.571329,neutral,0.0
1783968005.8779,11:40:05.877,neutral,surprise,0.376885,neutral,0.0
1783968005.909,11:40:05.909,neutral,surprise,0.376885,neutral,0.0
1783968005.9402,11:40:05.940,neutral,surprise,0.376885,neutral,0.0
1783968005.9713,11:40:05.971,neutral,surprise,0.376885,neutral,0.0
1783968006.0024,11:40:06.002,neutral,frown,0.293405,neutral,0.0
1783968006.0338,11:40:06.033,neutral,frown,0.293405,neutral,0.0
1783968006.0651,11:40:06.065,neutral,frown,0.293405,neutral,0.0
1783968006.0965,11:40:06.096,neutral,frown,0.293405,neutral,0.0
1783968006.1278,11:40:06.127,neutral,frown,0.382566,neutral,0.0
1783968006.1591,11:40:06.159,neutral,frown,0.382566,neutral,0.0
1783968006.1903,11:40:06.190,neutral,frown,0.382566,neutral,0.0
1783968006.2214,11:40:06.221,neutral,frown,0.382566,neutral,0.0
1783968006.2526,11:40:06.252,neutral,frown,0.626261,neutral,0.0
1783968006.2837,11:40:06.283,neutral,frown,0.626261,neutral,0.0
1783968006.3148,11:40:06.314,neutral,frown,0.626261,neutral,0.0
1783968006.346,11:40:06.346,neutral,frown,0.626261,neutral,0.0
1783968006.3771,11:40:06.377,neutral,frown,1.0,neutral,0.0
1783968006.4082,11:40:06.408,neutral,frown,1.0,neutral,0.0
1783968006.4396,11:40:06.439,neutral,frown,1.0,neutral,0.0
1783968006.4709,11:40:06.470,neutral,frown,1.0,neutral,0.0
1783968006.5023,11:40:06.502,neutral,frown,1.0,neutral,0.0
1783968006.5336,11:40:06.533,neutral,frown,1.0,neutral,0.0
1783968006.5647,11:40:06.564,neutral,frown,1.0,neutral,0.0
1783968006.5959,11:40:06.595,neutral,frown,1.0,neutral,0.0
1783968006.627,11:40:06.627,neutral,frown,0.980492,neutral,0.0
1783968006.6582,11:40:06.658,neutral,frown,0.980492,neutral,0.0
1783968006.6893,11:40:06.689,neutral,frown,0.980492,neutral,0.0
1783968006.7204,11:40:06.720,neutral,frown,0.980492,neutral,0.0
1783968006.7516,11:40:06.751,neutral,frown,0.68984,neutral,0.0
1783968006.7829,11:40:06.782,neutral,frown,0.68984,neutral,0.0
1783968006.8142,11:40:06.814,neutral,frown,0.68984,neutral,0.0
1783968006.8456,11:40:06.845,neutral,frown,0.68984,neutral,0.0
1783968006.8769,11:40:06.876,neutral,frown,0.622458,neutral,0.0
1783968006.9083,11:40:06.908,neutral,frown,0.622458,neutral,0.0
1783968006.9396,11:40:06.939,neutral,frown,0.622458,neutral,0.0
1783968006.9709,11:40:06.970,neutral,frown,0.622458,neutral,0.0
1783968007.0023,11:40:07.002,neutral,frown,0.617141,neutral,0.0
1783968007.0334,11:40:07.033,neutral,frown,0.617141,neutral,0.0
1783968007.0646,11:40:07.064,neutral,frown,0.617141,neutral,0.0
1783968007.0957,11:40:07.095,neutral,frown,0.617141,neutral,0.0
1783968007.1268,11:40:07.126,neutral,frown,0.660593,neutral,0.0
1783968007.158,11:40:07.158,neutral,frown,0.660593,neutral,0.0
1783968007.1893,11:40:07.189,neutral,frown,0.660593,neutral,0.0
1783968007.2206,11:40:07.220,neutral,frown,0.660593,neutral,0.0
1783968007.252,11:40:07.252,neutral,frown,1.0,neutral,0.0
