Timestamp,Local time,Battery Level,Battery Percent,Wireless Signal,Overall Quality,Quality Sensor 0,Quality Sensor 1,Quality Sensor 2,Quality Sensor 3,Quality Sensor 4
"1783977926.9542","14:25:26.954","4","96","1.0","25","4","0","2","1","4"
"1783977927.4544","14:25:27.454","4","96","1.0","33","4","1","2","1","4"
"1783977927.9539","14:25:27.953","4","96","1.0","42","4","1","2","2","4"
"1783977928.4539","14:25:28.453","4","96","1.0","33","4","0","2","2","4"
"1783977928.9538","14:25:28.953","4","96","1.0","33","4","0","2","2","4"
"1783977929.4532","14:25:29.453","4","96","1.0","42","4","1","2","2","4"
"1783977929.9531","14:25:29.953","4","96","1.0","42","4","1","2","2","4"
"1783977930.4533","14:25:30.453","4","96","1.0","42","4","1","2","2","4"
"1783977930.953","14:25:30.953","4","96","1.0","33","4","0","2","2","4"
"1783977931.4536","14:25:31.453","4","96","1.0","42","4","1","2","2","4"
"1783977931.9537","14:25:31.953","4","96","1.0","50","4","0","4","2","4"
"1783977932.4529","14:25:32.452","4","96","1.0","33","4","0","2","2","4"
"1783977932.953","14:25:32.953","4","96","1.0","33","4","0","2","2","4"
"1783977933.4531","14:25:33.453","4","96","1.0","42","2","1","2","2","2"
"1783977933.9524","14:25:33.952","4","96","1.0","33","4","0","2","2","4"
"1783977934.452","14:25:34.452","4","96","1.0","33","4","0","2","2","4"
"1783977934.9523","14:25:34.952","4","96","1.0","33","4","0","2","2","4"
"1783977935.4523","14:25:35.452","4","96","1.0","33","4","0","2","2","4"
"1783977935.9521","14:25:35.952","4","96","1.0","33","4","0","2","2","4"
"1783977936.4522","14:25:36.452","4","96","1.0","42","4","0","4","1","4"
"1783977936.9518","14:25:36.951","4","96","1.0","25","4","0","2","1","4"
"1783977937.4513","14:25:37.451","4","96","1.0","25","4","0","2","1","4"
"1783977937.9517","14:25:37.951","4","96","1.0","25","4","0","2","1","4"
"1783977938.4516","14:25:38.451","4","96","1.0","25","4","0","2","1","4"
"1783977938.951","14:25:38.951","4","96","1.0","25","4","0","2","1","4"
"1783977939.4513","14:25:39.451","4","96","1.0","17","4","0","2","0","4"
"1783977939.9511","14:25:39.951","4","96","1.0","25","4","0","2","1","4"
"1783977940.451","14:25:40.451","4","96","1.0","25","4","0","2","1","4"
"1783977940.9514","14:25:40.951","4","96","1.0","17","4","0","2","0","4"
"1783977941.4509","14:25:41.450","4","96","1.0","25","4","0","2","1","4"
"1783977941.9507","14:25:41.950","4","96","1.0","25","4","0","2","1","4"
"1783977942.451","14:25:42.451","4","96","1.0","25","4","0","2","1","4"
"1783977942.951","14:25:42.951","4","96","1.0","25","4","0","2","1","4"
"1783977943.4505","14:25:43.450","4","96","1.0","25","4","0","2","1","4"
"1783977943.9503","14:25:43.950","4","96","1.0","25","4","0","2","1","4"
"1783977944.45","14:25:44.450","4","96","1.0","25","4","0","2","1","4"
"1783977944.9494","14:25:44.949","4","96","1.0","25","4","0","2","1","4"
"1783977945.4494","14:25:45.449","4","96","1.0","25","4","0","2","1","4"
"1783977945.9493","14:25:45.949","4","96","1.0","25","4","0","2","1","4"
"1783977946.4491","14:25:46.449","4","96","1.0","25","4","0","2","1","4"
"1783977946.949","14:25:46.949","4","96","1.0","25","4","0","2","1","4"
"1783977947.4488","14:25:47.448","4","96","1.0","25","4","0","2","1","4"
"1783977947.9481","14:25:47.948","4","96","1.0","25","4","0","2","1","4"
"1783977948.4485","14:25:48.448","4","96","1.0","25","4","0","2","1","4"
"1783977948.9488","14:25:48.948","4","96","1.0","25","4","0","2","1","4"
"1783977949.4484","14:25:49.448","4","96","1.0","25","4","0","2","1","4"
"1783977949.9481","14:25:49.948","4","96","1.0","25","4","0","2","1","4"
"1783977950.4479","14:25:50.447","4","96","1.0","25","4","0","2","1","4"
"1783977950.9478","14:25:50.947","4","96","1.0","25","4","0","2","1","4"
"1783977951.4472","14:25:51.447","4","96","1.0","25","4","0","2","1","4"
"1783977951.9473","14:25:51.947","4","96","1.0","25","4","0","2","1","4"
"1783977952.4469","14:25:52.446","4","96","1.0","25","4","0","2","1","4"
"1783977952.9462","14:25:52.946","4","96","1.0","25","4","0","2","1","4"
"1783977953.4466","14:25:53.446","4","96","1.0","25","4","0","2","1","4"
"1783977953.9463","14:25:53.946","4","96","1.0","25","4","0","2","1","4"
"1783977954.4457","14:25:54.445","4","96","1.0","25","4","0","2","1","4"
"1783977954.9459","14:25:54.945","4","96","1.0","25","4","0","2","1","4"
"1783977955.4456","14:25:55.445","4","96","1.0","25","4","0","2","1","4"
"1783977955.9454","14:25:55.945","4","96","1.0","25","4","0","2","1","4"
"1783977956.4455","14:25:56.445","4","96","1.0","25","4","0","2","1","4"
"1783977956.9453","14:25:56.945","4","96","1.0","25","4","0","2","1","4"
"1783977957.4446","14:25:57.444","4","96","1.0","25","4","0","2","1","4"
"1783977957.9448","14:25:57.944","4","96","1.0","25","4","0","2","1","4"
"1783977958.4447","14:25:58.444","4","96","1.0","33","4","0","2","2","4"
"1783977958.9445","14:25:58.944","4","96","1.0","25","4","0","2","1","4"
"1783977959.445","14:25:59.445","4","96","1.0","25","4","0","2","1","4"
"1783977959.9446","14:25:59.944","4","96","1.0","25","4","0","2","1","4"
"1783977960.4439","14:26:00.443","4","96","1.0","25","4","0","2","1","4"
"1783977960.9443","14:26:00.944","4","96","1.0","33","4","0","2","2","4"
"1783977961.4442","14:26:01.444","4","96","1.0","25","4","0","2","1","4"
"1783977961.9438","14:26:01.943","4","96","1.0","25","4","0","2","1","4"
"1783977962.4437","14:26:02.443","4","96","1.0","25","4","0","2","1","4"
"1783977962.9437","14:26:02.943","4","96","1.0","25","4","0","2","1","4"
"1783977963.4432","14:26:03.443","4","96","1.0","25","4","0","2","1","4"
"1783977963.9426","14:26:03.942","4","96","1.0","25","4","0","2","1","4"
"1783977964.443","14:26:04.443","4","96","1.0","25","4","0","2","1","4"
"1783977964.943","14:26:04.943","4","96","1.0","25","4","0","2","1","4"
"1783977965.4428","14:26:05.442","4","96","1.0","25","4","0","2","1","4"
"1783977965.9431","14:26:05.943","4","96","1.0","33","4","0","2","2","4"
"1783977966.4429","14:26:06.442","4","96","1.0","25","4","0","2","1","4"
"1783977966.9426","14:26:06.942","4","96","1.0","25","4","0","2","1","4"
"1783977967.443","14:26:07.443","4","96","1.0","25","4","0","2","1","4"
