Timestamp,Local time,Pleasure,Arousal,Dominance
1783986139.3509,16:42:19.350,0.65,0.68,-0.34
1783986139.8511,16:42:19.851,0.65,0.66,-0.36
1783986140.3508,16:42:20.350,0.65,0.66,-0.37
1783986140.851,16:42:20.851,0.65,0.66,-0.37
1783986141.3515,16:42:21.351,0.63,0.68,-0.37
1783986141.8515,16:42:21.851,0.63,0.69,-0.35
1783986142.3508,16:42:22.350,0.66,0.68,-0.32
1783986142.851,16:42:22.851,0.92,0.40,-0.04
1783986143.3507,16:42:23.350,0.92,0.38,0.00
1783986143.8501,16:42:23.850,0.93,0.38,0.01
1783986144.3504,16:42:24.350,0.93,0.38,0.01
1783986144.8504,16:42:24.850,0.93,0.37,0.02
1783986145.3498,16:42:25.349,0.93,0.36,0.02
1783986145.8499,16:42:25.849,0.93,0.36,0.03
1783986146.3497,16:42:26.349,0.94,0.33,0.06
1783986146.8492,16:42:26.849,0.94,0.34,0.05
1783986147.3494,16:42:27.349,0.94,0.35,0.05
1783986147.8493,16:42:27.849,0.74,0.64,-0.20
1783986148.3489,16:42:28.348,0.72,0.66,-0.22
1783986148.8492,16:42:28.849,0.69,0.67,-0.25
1783986149.349,16:42:29.349,0.67,0.69,-0.29
1783986149.8483,16:42:29.848,0.63,0.70,-0.33
1783986150.3479,16:42:30.347,0.63,0.69,-0.36
1783986150.8484,16:42:30.848,0.63,0.68,-0.38
1783986151.3478,16:42:31.347,0.63,0.67,-0.39
1783986151.8477,16:42:31.847,0.65,0.66,-0.38
1783986152.3481,16:42:32.348,0.68,0.65,-0.34
1783986152.8478,16:42:32.847,0.74,0.61,-0.27
1783986153.3474,16:42:33.347,0.75,0.61,-0.26
1783986153.8475,16:42:33.847,0.77,0.59,-0.25
1783986154.3467,16:42:34.346,0.80,0.56,-0.24
1783986154.846,16:42:34.846,0.79,0.55,-0.26
1783986155.3458,16:42:35.345,0.75,0.59,-0.29
1783986155.8458,16:42:35.845,0.73,0.61,-0.30
1783986156.3453,16:42:36.345,0.71,0.64,-0.30
1783986156.8455,16:42:36.845,0.70,0.64,-0.30
1783986157.3454,16:42:37.345,0.70,0.63,-0.33
1783986157.8446,16:42:37.844,0.72,0.61,-0.33
1783986158.3449,16:42:38.344,0.72,0.59,-0.36
1783986158.8443,16:42:38.844,0.73,0.59,-0.35
1783986159.3442,16:42:39.344,0.71,0.60,-0.37
1783986159.8448,16:42:39.844,0.67,0.64,-0.37
1783986160.3447,16:42:40.344,0.68,0.64,-0.35
1783986160.8447,16:42:40.844,0.67,0.67,-0.32
1783986161.3454,16:42:41.345,0.68,0.67,-0.30
1783986161.8448,16:42:41.844,0.70,0.65,-0.30
1783986162.3445,16:42:42.344,0.70,0.65,-0.30
1783986162.8445,16:42:42.844,0.70,0.65,-0.30
1783986163.3444,16:42:43.344,0.70,0.65,-0.30
1783986163.8438,16:42:43.843,0.69,0.65,-0.30
1783986164.3437,16:42:44.343,0.67,0.67,-0.31
1783986164.8431,16:42:44.843,0.94,0.35,-0.01
1783986165.3423,16:42:45.342,0.94,0.35,0.00
1783986165.8422,16:42:45.842,0.94,0.34,0.03
1783986166.3418,16:42:46.341,0.94,0.32,0.05
1783986166.8413,16:42:46.841,0.95,0.31,0.07
1783986167.3414,16:42:47.341,0.94,0.33,0.07
1783986167.8413,16:42:47.841,0.94,0.34,0.06
1783986168.3407,16:42:48.340,0.94,0.34,0.06
1783986168.8406,16:42:48.840,0.94,0.34,0.06
1783986169.3409,16:42:49.340,0.94,0.33,0.07
1783986169.8412,16:42:49.841,0.94,0.33,0.07
1783986170.3408,16:42:50.340,0.94,0.34,0.05
1783986170.8414,16:42:50.841,0.95,0.31,0.08
1783986171.3408,16:42:51.340,0.96,0.25,0.12
1783986171.8405,16:42:51.840,0.96,0.24,0.14
1783986172.3409,16:42:52.340,0.96,0.25,0.13
1783986172.8408,16:42:52.840,0.96,0.26,0.13
1783986173.3408,16:42:53.340,0.95,0.28,0.12
1783986173.8409,16:42:53.840,0.81,0.56,-0.13
1783986174.3404,16:42:54.340,0.80,0.58,-0.16
1783986174.8396,16:42:54.839,0.78,0.60,-0.17
1783986175.3397,16:42:55.339,0.75,0.63,-0.21
1783986175.8395,16:42:55.839,0.71,0.66,-0.25
1783986176.3392,16:42:56.339,0.71,0.66,-0.26
1783986176.8398,16:42:56.839,0.71,0.65,-0.27
1783986177.3395,16:42:57.339,0.75,0.62,-0.23
1783986177.8385,16:42:57.838,0.74,0.62,-0.26
1783986178.3388,16:42:58.338,0.73,0.63,-0.27
1783986178.8386,16:42:58.838,0.78,0.58,-0.23
1783986179.3383,16:42:59.338,0.80,0.55,-0.22
1783986179.8383,16:42:59.838,0.82,0.53,-0.22
1783986180.3384,16:43:00.338,0.84,0.50,-0.20
1783986180.8378,16:43:00.837,0.85,0.49,-0.18
1783986181.3379,16:43:01.337,0.85,0.49,-0.18
1783986181.8381,16:43:01.838,0.84,0.51,-0.19
1783986182.338,16:43:02.338,0.80,0.55,-0.23
1783986182.8378,16:43:02.837,0.78,0.58,-0.25
1783986183.3377,16:43:03.337,0.78,0.58,-0.22
1783986183.8369,16:43:03.836,0.96,0.26,0.08
1783986184.3369,16:43:04.336,0.95,0.30,0.06
1783986184.8368,16:43:04.836,0.95,0.30,0.07
1783986185.3366,16:43:05.336,0.95,0.31,0.07
1783986185.8367,16:43:05.836,0.75,0.63,-0.21
1783986186.3363,16:43:06.336,0.73,0.64,-0.23
1783986186.8363,16:43:06.836,0.69,0.67,-0.27
1783986187.3363,16:43:07.336,0.70,0.66,-0.28
1783986187.8368,16:43:07.836,0.69,0.66,-0.29
1783986188.3358,16:43:08.335,0.71,0.65,-0.27
1783986188.8357,16:43:08.835,0.72,0.64,-0.25
1783986189.3359,16:43:09.335,0.72,0.65,-0.23
1783986189.8358,16:43:09.835,0.70,0.67,-0.25
1783986190.3356,16:43:10.335,0.69,0.67,-0.25
1783986190.8361,16:43:10.836,0.69,0.67,-0.25
1783986191.3363,16:43:11.336,0.93,0.36,0.03
1783986191.8358,16:43:11.835,0.95,0.32,0.06
1783986192.336,16:43:12.336,0.95,0.28,0.09
1783986192.8359,16:43:12.835,0.96,0.27,0.11
1783986193.3355,16:43:13.335,0.96,0.27,0.12
1783986193.8351,16:43:13.835,0.96,0.25,0.13
1783986194.3346,16:43:14.334,0.96,0.23,0.16
1783986194.8344,16:43:14.834,0.96,0.24,0.15
1783986195.3343,16:43:15.334,0.96,0.27,0.11
1783986195.8339,16:43:15.833,0.94,0.34,0.06
1783986196.3333,16:43:16.333,0.93,0.36,0.06
1783986196.8329,16:43:16.832,0.94,0.34,0.07
1783986197.3331,16:43:17.333,0.94,0.34,0.07
1783986197.8327,16:43:17.832,0.92,0.38,0.04
1783986198.3324,16:43:18.332,0.92,0.38,0.03
1783986198.8326,16:43:18.832,0.82,0.55,-0.14
1783986199.3319,16:43:19.331,0.74,0.63,-0.23
1783986199.8313,16:43:19.831,0.70,0.66,-0.26
1783986200.3317,16:43:20.331,0.71,0.65,-0.26
1783986200.8314,16:43:20.831,0.74,0.62,-0.25
1783986201.3313,16:43:21.331,0.75,0.61,-0.24
1783986201.8311,16:43:21.831,0.75,0.61,-0.25
1783986202.3305,16:43:22.330,0.89,0.45,-0.08
1783986202.8303,16:43:22.830,0.87,0.48,-0.10
1783986203.3308,16:43:23.330,0.87,0.48,-0.11
1783986203.83,16:43:23.830,0.87,0.48,-0.10
1783986204.3298,16:43:24.329,0.90,0.44,-0.06
1783986204.8299,16:43:24.829,0.92,0.38,0.00
1783986205.3296,16:43:25.329,0.94,0.34,0.05
1783986205.8293,16:43:25.829,0.95,0.31,0.07
1783986206.3295,16:43:26.329,0.95,0.31,0.08
1783986206.829,16:43:26.829,0.95,0.30,0.10
1783986207.3296,16:43:27.329,0.95,0.29,0.11
1783986207.8297,16:43:27.829,0.95,0.28,0.12
1783986208.3293,16:43:28.329,0.82,0.56,-0.12
1783986208.8292,16:43:28.829,0.86,0.51,-0.08
1783986209.329,16:43:29.329,0.85,0.51,-0.09
1783986209.8291,16:43:29.829,0.80,0.58,-0.17
1783986210.3285,16:43:30.328,0.75,0.63,-0.21
1783986210.8285,16:43:30.828,0.74,0.63,-0.23
1783986211.3284,16:43:31.328,0.72,0.64,-0.25
1783986211.8277,16:43:31.827,0.70,0.67,-0.27
1783986212.3277,16:43:32.327,0.91,0.41,-0.03
1783986212.8278,16:43:32.827,0.91,0.42,-0.04
1783986213.3272,16:43:33.327,0.68,0.67,-0.28
1783986213.8274,16:43:33.827,0.67,0.68,-0.29
1783986214.3271,16:43:34.327,0.67,0.68,-0.30
1783986214.8263,16:43:34.826,0.66,0.68,-0.31
1783986215.3262,16:43:35.326,0.67,0.68,-0.30
1783986215.8262,16:43:35.826,0.92,0.40,-0.01
1783986216.3261,16:43:36.326,0.92,0.40,0.00
1783986216.8261,16:43:36.826,0.91,0.41,0.01
1783986217.3259,16:43:37.325,0.90,0.44,-0.01
1783986217.8253,16:43:37.825,0.90,0.43,0.00
1783986218.325,16:43:38.325,0.91,0.41,0.02
1783986218.8254,16:43:38.825,0.93,0.37,0.04
1783986219.3257,16:43:39.325,0.92,0.38,0.05
1783986219.8259,16:43:39.825,0.93,0.37,0.05
1783986220.3261,16:43:40.326,0.93,0.37,0.05
1783986220.8259,16:43:40.825,0.91,0.41,0.03
1783986221.3256,16:43:41.325,0.90,0.44,0.00
1783986221.8254,16:43:41.825,0.89,0.46,-0.02
1783986222.3251,16:43:42.325,0.88,0.47,-0.02
1783986222.8247,16:43:42.824,0.90,0.44,0.00
1783986223.3247,16:43:43.324,0.90,0.43,0.01
1783986223.8244,16:43:43.824,0.90,0.44,0.00
1783986224.3242,16:43:44.324,0.80,0.57,-0.16
1783986224.8243,16:43:44.824,0.74,0.64,-0.22
1783986225.3244,16:43:45.324,0.69,0.67,-0.26
1783986225.8237,16:43:45.823,0.69,0.67,-0.26
1783986226.3239,16:43:46.323,0.69,0.67,-0.26
1783986226.824,16:43:46.824,0.82,0.55,-0.14
1783986227.3238,16:43:47.323,0.82,0.55,-0.14
1783986227.8233,16:43:47.823,0.83,0.55,-0.13
1783986228.3235,16:43:48.323,0.83,0.54,-0.11
1783986228.8228,16:43:48.822,0.86,0.51,-0.07
1783986229.3228,16:43:49.322,0.88,0.47,-0.04
1783986229.8229,16:43:49.822,0.91,0.42,0.03
1783986230.3229,16:43:50.322,0.91,0.41,0.02
1783986230.8232,16:43:50.823,0.91,0.40,0.04
1783986231.323,16:43:51.323,0.91,0.40,0.03
1783986231.8225,16:43:51.822,0.93,0.37,0.05
1783986232.3221,16:43:52.322,0.94,0.32,0.08
1783986232.8221,16:43:52.822,0.94,0.32,0.08
1783986233.3218,16:43:53.321,0.93,0.36,0.06
1783986233.8214,16:43:53.821,0.93,0.37,0.04
1783986234.3217,16:43:54.321,0.91,0.41,0.01
1783986234.8219,16:43:54.821,0.91,0.42,0.01
1783986235.3212,16:43:55.321,0.91,0.42,0.00
1783986235.8213,16:43:55.821,0.90,0.43,0.00
1783986236.321,16:43:56.321,0.91,0.42,0.00
1783986236.8202,16:43:56.820,0.90,0.44,0.00
1783986237.3203,16:43:57.320,0.89,0.45,-0.01
1783986237.8201,16:43:57.820,0.86,0.50,-0.06
