DateTime,Timestamp,Trial,MoveNumber,From,To,MoveDurationSeconds,HelpUsed,ErrorsThisMove,ErrorDetails
2026-07-13_15-47-14.764,1783982834.764,1,1,A,C,9,FALSE,0,
2026-07-13_15-47-29.304,1783982849.304,1,2,A,B,14,FALSE,0,
2026-07-13_15-47-43.284,1783982863.284,1,3,C,B,13,FALSE,0,
2026-07-13_15-47-59.473,1783982879.473,1,4,A,C,16,FALSE,0,
2026-07-13_15-48-14.714,1783982894.714,1,5,B,A,15,FALSE,0,
2026-07-13_15-48-27.673,1783982907.673,1,6,B,C,12,FALSE,0,
2026-07-13_15-48-39.964,1783982919.964,1,7,A,C,12,FALSE,0,
2026-07-13_15-48-57.374,1783982937.374,1,8,A,B,17,FALSE,0,
2026-07-13_15-49-16.424,1783982956.424,1,9,C,A,19,TRUE,0,
2026-07-13_15-49-30.486,1783982970.486,1,10,C,B,14,FALSE,0,
2026-07-13_15-49-44.299,1783982984.299,1,11,A,B,13,FALSE,0,
2026-07-13_15-50-08.008,1783983008.008,1,12,C,A,23,FALSE,0,
2026-07-13_15-50-49.169,1783983049.169,1,13,A,C,41,FALSE,0,
2026-07-13_15-51-01.950,1783983061.950,1,14,C,A,12,TRUE,0,
2026-07-13_15-52-09.314,1783983129.314,1,15,B,A,67,FALSE,0,
2026-07-13_15-52-21.759,1783983141.759,1,16,B,C,12,FALSE,0,
2026-07-13_15-52-37.000,1783983157.000,1,17,A,B,15,FALSE,0,
2026-07-13_15-52-50.345,1783983170.345,1,18,C,A,13,FALSE,0,
2026-07-13_15-53-05.767,1783983185.767,1,19,B,C,15,FALSE,0,
2026-07-13_15-53-16.297,1783983196.297,1,20,A,B,10,FALSE,0,
2026-07-13_15-53-29.072,1783983209.072,1,21,C,B,12,FALSE,0,
2026-07-13_15-53-46.513,1783983226.513,1,22,B,A,17,FALSE,0,
2026-07-13_15-53-58.669,1783983238.669,1,23,B,C,12,FALSE,0,
2026-07-13_15-54-11.983,1783983251.983,1,24,A,B,13,FALSE,0,
2026-07-13_15-54-26.744,1783983266.744,1,25,C,A,14,FALSE,0,
2026-07-13_15-54-38.641,1783983278.641,1,26,B,A,11,FALSE,0,
2026-07-13_15-54-51.077,1783983291.077,1,27,B,C,12,FALSE,0,
2026-07-13_15-55-11.190,1783983311.190,1,28,A,C,20,FALSE,0,
2026-07-13_15-55-22.837,1783983322.837,1,29,A,B,11,FALSE,0,
2026-07-13_15-55-34.525,1783983334.525,1,30,C,B,11,FALSE,0,
2026-07-13_15-55-46.763,1783983346.763,1,31,A,C,12,FALSE,0,
2026-07-13_15-55-58.503,1783983358.503,1,32,B,A,11,FALSE,0,
2026-07-13_15-56-12.421,1783983372.421,1,33,B,C,13,FALSE,0,
2026-07-13_15-56-23.535,1783983383.535,1,34,A,B,11,FALSE,0,
2026-07-13_15-56-35.568,1783983395.568,1,35,C,A,12,FALSE,0,
2026-07-13_15-56-47.828,1783983407.828,1,36,B,A,12,FALSE,0,
2026-07-13_15-56-58.916,1783983418.916,1,37,C,B,11,FALSE,0,
2026-07-13_15-57-11.137,1783983431.137,1,38,A,C,12,FALSE,0,
2026-07-13_15-57-21.823,1783983441.823,1,39,A,B,10,FALSE,0,
2026-07-13_15-57-34.478,1783983454.478,1,40,C,B,12,FALSE,0,
2026-07-13_15-58-43.637,1783983523.637,1,41,C,A,69,FALSE,0,
2026-07-13_15-59-39.588,1783983579.588,1,42,B,A,55,FALSE,0,
2026-07-13_15-59-55.470,1783983595.470,1,43,B,C,15,FALSE,0,
2026-07-13_16-00-25.986,1783983625.986,1,44,A,C,30,FALSE,0,
2026-07-13_16-00-40.803,1783983640.803,1,45,B,A,14,FALSE,0,
2026-07-13_16-01-03.010,1783983663.010,1,46,C,A,22,FALSE,0,
2026-07-13_16-01-19.020,1783983679.020,1,47,C,B,16,FALSE,0,
2026-07-13_16-01-29.210,1783983689.210,1,48,A,B,10,FALSE,0,
2026-07-13_16-01-42.350,1783983702.350,1,49,A,C,13,FALSE,0,
2026-07-13_16-01-54.952,1783983714.952,1,50,B,C,12,FALSE,0,
2026-07-13_16-02-11.228,1783983731.228,1,51,B,A,16,FALSE,0,
2026-07-13_16-02-29.541,1783983749.541,1,52,C,A,18,FALSE,0,
2026-07-13_16-02-40.088,1783983760.088,1,53,A,B,10,FALSE,0,
2026-07-13_16-02-54.597,1783983774.597,1,54,A,C,14,FALSE,0,
2026-07-13_16-03-12.401,1783983792.401,1,55,C,A,17,FALSE,0,
2026-07-13_16-03-25.082,1783983805.082,1,56,B,C,12,FALSE,0,
2026-07-13_16-03-35.647,1783983815.647,1,57,A,B,10,FALSE,0,
2026-07-13_16-03-47.477,1783983827.477,1,58,C,B,11,FALSE,0,
2026-07-13_16-04-00.694,1783983840.694,1,59,C,A,13,FALSE,0,
2026-07-13_16-04-16.247,1783983856.247,1,60,B,A,15,FALSE,0,
2026-07-13_16-04-28.374,1783983868.374,1,61,B,C,12,FALSE,0,
2026-07-13_16-04-44.233,1783983884.233,1,62,A,C,15,FALSE,0,
2026-07-13_16-04-54.958,1783983894.958,1,63,A,B,10,FALSE,0,
2026-07-13_16-05-10.311,1783983910.311,1,64,C,A,15,FALSE,0,
2026-07-13_16-05-22.487,1783983922.487,1,65,C,B,12,FALSE,0,
2026-07-13_16-05-32.897,1783983932.897,1,66,A,B,10,FALSE,0,
2026-07-13_16-05-44.857,1783983944.857,1,67,A,C,11,FALSE,0,
2026-07-13_16-05-59.592,1783983959.592,1,68,B,C,14,FALSE,0,
2026-07-13_16-06-11.934,1783983971.934,1,69,B,A,12,FALSE,0,
2026-07-13_16-06-25.876,1783983985.876,1,70,C,A,13,FALSE,0,
2026-07-13_16-06-39.134,1783983999.134,1,71,B,C,13,FALSE,0,
2026-07-13_16-06-51.231,1783984011.231,1,72,A,B,12,FALSE,0,
2026-07-13_16-07-03.427,1783984023.427,1,73,A,C,12,FALSE,0,
2026-07-13_16-07-15.681,1783984035.681,1,74,B,C,12,FALSE,0,
2026-07-13_16-08-47.547,1783984127.547,2,1,A,C,9,FALSE,0,
2026-07-13_16-08-58.598,1783984138.598,2,2,A,B,11,FALSE,0,
2026-07-13_16-09-10.361,1783984150.361,2,3,C,B,11,FALSE,0,
2026-07-13_16-09-21.949,1783984161.949,2,4,A,C,11,FALSE,0,
2026-07-13_16-09-35.460,1783984175.460,2,5,B,A,13,FALSE,0,
2026-07-13_16-09-56.578,1783984196.578,2,6,A,C,21,FALSE,2,2026-07-13_16-09-36.846 - Invalid move from C to B | 2026-07-13_16-09-40.396 - Invalid move from B to A
2026-07-13_16-10-08.710,1783984208.710,2,7,B,A,12,FALSE,0,
2026-07-13_16-10-21.246,1783984221.246,2,8,C,B,12,FALSE,0,
2026-07-13_16-10-33.125,1783984233.125,2,9,A,C,11,FALSE,0,
2026-07-13_16-10-45.888,1783984245.888,2,10,B,C,12,FALSE,0,
2026-07-13_16-10-56.461,1783984256.461,2,11,A,B,10,FALSE,0,
2026-07-13_16-11-09.279,1783984269.279,2,12,C,A,12,FALSE,0,
2026-07-13_16-11-20.970,1783984280.970,2,13,C,B,11,FALSE,0,
2026-07-13_16-11-33.297,1783984293.297,2,14,A,C,12,FALSE,0,
2026-07-13_16-11-45.064,1783984305.064,2,15,B,A,11,FALSE,0,
2026-07-13_16-11-58.488,1783984318.488,2,16,C,B,13,FALSE,0,
2026-07-13_16-12-10.399,1783984330.399,2,17,B,A,11,FALSE,0,
2026-07-13_16-12-23.353,1783984343.353,2,18,C,B,12,FALSE,0,
2026-07-13_16-12-38.641,1783984358.641,2,19,A,C,15,FALSE,0,
2026-07-13_16-12-53.073,1783984373.073,2,20,A,B,14,FALSE,0,
2026-07-13_16-13-04.662,1783984384.662,2,21,C,B,11,FALSE,0,
2026-07-13_16-13-16.761,1783984396.761,2,22,A,C,12,FALSE,0,
2026-07-13_16-13-28.290,1783984408.290,2,23,B,A,11,FALSE,0,
2026-07-13_16-13-39.625,1783984419.625,2,24,B,C,11,FALSE,0,
2026-07-13_16-13-52.135,1783984432.135,2,25,A,C,12,FALSE,0,
2026-07-13_16-14-05.177,1783984445.177,2,26,B,A,13,FALSE,0,
2026-07-13_16-14-17.258,1783984457.258,2,27,C,A,12,FALSE,0,
2026-07-13_16-14-28.935,1783984468.935,2,28,C,B,11,FALSE,0,
2026-07-13_16-14-41.304,1783984481.304,2,29,A,B,12,FALSE,0,
2026-07-13_16-15-36.675,1783984536.675,2,30,B,C,55,FALSE,0,
2026-07-13_16-15-48.702,1783984548.702,2,31,B,A,12,FALSE,0,
2026-07-13_16-16-14.048,1783984574.048,2,32,C,A,25,FALSE,0,
2026-07-13_16-16-43.786,1783984603.786,2,33,A,C,29,TRUE,0,
2026-07-13_16-16-55.571,1783984615.571,2,34,A,B,11,FALSE,0,
2026-07-13_16-17-10.249,1783984630.249,2,35,C,A,14,FALSE,0,
2026-07-13_16-17-21.917,1783984641.917,2,36,B,C,11,FALSE,0,
2026-07-13_16-17-34.185,1783984654.185,2,37,A,C,12,FALSE,0,
2026-07-13_16-17-45.317,1783984665.317,2,38,A,B,11,FALSE,0,
2026-07-13_16-17-57.647,1783984677.647,2,39,C,A,12,FALSE,0,
2026-07-13_16-18-08.699,1783984688.699,2,40,C,B,11,FALSE,0,
2026-07-13_16-18-51.899,1783984731.899,2,41,A,C,43,TRUE,0,
2026-07-13_16-19-04.586,1783984744.586,2,42,B,A,12,FALSE,0,
2026-07-13_16-19-16.756,1783984756.756,2,43,C,A,12,FALSE,0,
2026-07-13_16-19-28.792,1783984768.792,2,44,B,C,12,FALSE,0,
2026-07-13_16-19-40.482,1783984780.482,2,45,A,C,11,FALSE,0,
2026-07-13_16-19-51.693,1783984791.693,2,46,A,B,11,FALSE,0,
2026-07-13_16-20-03.006,1783984803.006,2,47,C,B,11,FALSE,0,
2026-07-13_16-20-24.399,1783984824.399,2,48,B,A,21,TRUE,0,
2026-07-13_16-20-42.507,1783984842.507,2,49,B,C,18,FALSE,0,
2026-07-13_16-20-53.600,1783984853.600,2,50,A,B,11,FALSE,0,
2026-07-13_16-21-05.843,1783984865.843,2,51,C,A,12,FALSE,0,
2026-07-13_16-21-17.442,1783984877.442,2,52,B,A,11,FALSE,0,
2026-07-13_16-21-29.587,1783984889.587,2,53,C,B,12,FALSE,0,
2026-07-13_16-21-42.455,1783984902.455,2,54,A,C,12,FALSE,0,
2026-07-13_16-21-53.926,1783984913.926,2,55,A,B,11,FALSE,0,
2026-07-13_16-22-09.347,1783984929.347,2,56,C,A,15,FALSE,0,
2026-07-13_16-22-20.726,1783984940.726,2,57,B,C,11,FALSE,0,
2026-07-13_16-22-34.550,1783984954.550,2,58,A,B,13,FALSE,0,
2026-07-13_16-22-46.945,1783984966.945,2,59,C,A,12,FALSE,0,
2026-07-13_16-22-59.512,1783984979.512,2,60,B,C,12,FALSE,0,
2026-07-13_16-23-14.408,1783984994.408,2,61,C,A,14,FALSE,0,
2026-07-13_16-23-26.979,1783985006.979,2,62,B,C,12,FALSE,0,
2026-07-13_16-23-42.599,1783985022.599,2,63,A,C,15,FALSE,0,
2026-07-13_16-23-53.814,1783985033.814,2,64,A,B,11,FALSE,0,
2026-07-13_16-24-04.650,1783985044.650,2,65,C,B,10,FALSE,0,
2026-07-13_16-24-17.847,1783985057.847,2,66,C,A,13,FALSE,0,
2026-07-13_16-24-29.140,1783985069.140,2,67,B,A,11,FALSE,0,
2026-07-13_16-24-41.395,1783985081.395,2,68,B,C,12,FALSE,0,
2026-07-13_16-24-51.884,1783985091.884,2,69,A,B,10,FALSE,0,
2026-07-13_16-25-04.293,1783985104.293,2,70,C,A,12,FALSE,0,
2026-07-13_16-25-19.406,1783985119.406,2,71,B,A,15,FALSE,0,
2026-07-13_16-25-33.623,1783985133.623,2,72,B,C,14,FALSE,0,
2026-07-13_16-25-44.378,1783985144.378,2,73,A,B,10,FALSE,0,
2026-07-13_16-25-57.136,1783985157.136,2,74,A,C,12,FALSE,0,
2026-07-13_16-26-09.601,1783985169.601,2,75,B,C,12,FALSE,0,
2026-07-13_16-26-20.700,1783985180.700,2,76,A,B,11,FALSE,0,
2026-07-13_16-26-33.539,1783985193.539,2,77,C,A,12,FALSE,0,
2026-07-13_16-26-45.040,1783985205.040,2,78,C,B,11,FALSE,0,
2026-07-13_16-27-00.062,1783985220.062,2,79,A,B,15,FALSE,0,
2026-07-13_16-27-12.683,1783985232.683,2,80,C,A,12,FALSE,0,
2026-07-13_16-27-24.901,1783985244.901,2,81,B,C,12,FALSE,0,
2026-07-13_16-27-36.417,1783985256.417,2,82,B,A,11,FALSE,0,
2026-07-13_16-27-48.689,1783985268.689,2,83,C,A,12,FALSE,0,
2026-07-13_16-28-00.846,1783985280.846,2,84,B,C,12,FALSE,0,
