localTimestamp,deviceTimestamp,step,confidence,surfaceX,surfaceY,imageX,imageY
1748539514.322,683777.105025,, 0.9214,0.221192,0.770501,589.647269,224.730404
1748539514.323,683777.109059,, 0.9214,0.222139,0.771177,589.893825,224.642935
1748539514.323,683777.113094,, 0.9337,0.228718,0.766962,591.504342,225.704737
1748539514.323,683777.117128,, 0.9337,0.228187,0.768977,591.393357,225.305306
1748539514.323,683777.121163,, 0.9107,0.229505,0.763577,591.664348,226.371329
1748539514.324,683777.125197,, 0.9107,0.229058,0.764096,591.557586,226.255474
1748539514.324,683777.129232,, 0.9042,0.230315,0.759541,591.822747,227.160703
1748539514.324,683777.133266,, 0.9042,0.229534,0.758832,591.617722,227.261235
1748539514.358,683777.137301,, 0.9293,0.232802,0.756467,592.337045,227.848687
1748539514.358,683777.141335,, 0.9293,0.229560,0.757337,591.529064,227.551452
1748539514.358,683777.145370,, 0.9454,0.226663,0.753751,590.757246,228.103334
1748539514.359,683777.149404,, 0.9454,0.226217,0.755424,590.663723,227.771387
1748539514.359,683777.153439,, 0.9649,0.226875,0.753418,590.806951,228.174398
1748539514.359,683777.157473,, 0.9649,0.223740,0.755438,590.038871,227.666152
1748539514.359,683777.161508,, 0.9068,0.225364,0.753777,590.429797,228.044534
1748539514.359,683777.165542,, 0.9068,0.225583,0.748906,590.429566,228.966223
1748539514.389,683777.169577,, 0.9199,0.227420,0.747460,590.571711,229.271407
1748539514.389,683777.173611,, 0.9199,0.233179,0.743555,591.980084,230.240713
1748539514.389,683777.177646,, 0.9417,0.239589,0.746707,593.632436,229.914737
1748539514.389,683777.181680,, 0.9417,0.241824,0.734626,594.059234,232.270339
1748539514.389,683777.185715,, 0.9206,0.240467,0.725905,593.618026,233.848039
1748539514.389,683777.189749,, 0.9206,0.237312,0.716697,592.717855,235.443030
1748539514.390,683777.193784,, 0.9108,0.230899,0.705980,590.979127,237.186109
1748539514.390,683777.197818,, 0.9108,0.230140,0.700687,590.727705,238.146370
1748539514.422,683777.201853,, 0.8981,0.232600,0.701627,591.004307,237.985103
1748539514.422,683777.205887,, 0.8981,0.232338,0.702136,590.943839,237.878872
1748539514.422,683777.209922,, 0.9292,0.229519,0.699979,590.207689,238.166786
1748539514.422,683777.213956,, 0.9292,0.231791,0.697294,590.751811,238.763944
1748539514.422,683777.217991,, 0.9336,0.232226,0.699451,590.885759,238.377541
1748539514.422,683777.222025,, 0.9336,0.231994,0.697038,590.800382,238.820179
1748539514.422,683777.226060,, 0.9351,0.230020,0.698148,590.313939,238.530676
1748539514.422,683777.230095,, 0.9351,0.230429,0.696926,590.403690,238.776702
1748539514.458,683777.234129,, 0.9185,0.234312,0.695451,591.108398,239.080804
1748539514.458,683777.238164,, 0.9185,0.234632,0.693481,591.167452,239.463135
1748539514.459,683777.242198,, 0.9421,0.234056,0.694712,591.035520,239.208787
1748539514.459,683777.246233,, 0.9421,0.234493,0.694998,591.149190,239.173113
1748539514.459,683777.250268,, 0.9384,0.233581,0.693477,590.901816,239.420621
1748539514.459,683777.254302,, 0.9384,0.234373,0.690348,591.067211,240.039669
1748539514.459,683777.258337,, 0.9270,0.236803,0.691725,591.696727,239.881746
1748539514.459,683777.262371,, 0.9270,0.238262,0.687276,592.016377,240.775783
1748539514.490,683777.266406,, 0.9545,0.236564,0.682923,591.422740,241.388467
1748539514.490,683777.270440,, 0.9545,0.237165,0.685901,591.607812,240.854955
1748539514.490,683777.274475,, 0.9221,0.232668,0.682673,590.435565,241.274886
1748539514.490,683777.278509,, 0.9221,0.234267,0.681915,590.831281,241.482894
1748539514.490,683777.282544,, 0.9222,0.234852,0.685926,591.023695,240.754971
1748539514.490,683777.286578,, 0.9222,0.236721,0.682845,591.461517,241.409551
1748539514.490,683777.290612,, 0.9328,0.237437,0.683564,591.650327,241.304245
1748539514.490,683777.294647,, 0.9328,0.236238,0.683178,591.343236,241.327276
1748539514.527,683777.298682,, 0.9481,0.233942,0.681394,590.907193,241.414408
1748539514.527,683777.302716,, 0.9481,0.236517,0.679790,591.540141,241.821130
1748539514.527,683777.306751,, 0.9504,0.236726,0.678637,591.580097,242.045788
1748539514.527,683777.310785,, 0.9504,0.236637,0.677868,591.548922,242.186232
1748539514.527,683777.314820,, 0.9528,0.236171,0.676435,591.415295,242.435708
1748539514.527,683777.318854,, 0.9528,0.237613,0.672677,591.737445,243.199469
1748539514.527,683777.322889,, 0.9256,0.236001,0.669825,591.298180,243.667638
1748539514.528,683777.326923,, 0.9256,0.235457,0.674075,591.208331,242.848645
1748539514.528,683777.330958,, 0.9550,0.234181,0.673996,590.884754,242.810816
1748539514.528,683777.334992,, 0.9550,0.234416,0.673574,590.939409,242.899539
1748539514.558,683777.339027,, 0.9659,0.232711,0.670414,590.424281,243.037836
1748539514.558,683777.343062,, 0.9659,0.233553,0.673973,590.675702,242.405205
1748539514.558,683777.347096,, 0.9251,0.234307,0.674544,590.872570,242.329166
1748539514.558,683777.351131,, 0.9251,0.233511,0.679854,590.728870,241.300977
1748539514.558,683777.355165,, 0.9443,0.230527,0.682325,590.001444,240.714812
1748539514.558,683777.359200,, 0.9443,0.232097,0.681063,590.384501,241.015886
1748539514.558,683777.363234,, 0.9445,0.231383,0.677549,590.166026,241.645357
1748539514.558,683777.367268,, 0.9445,0.231569,0.676875,590.205612,241.779487
1748539514.589,683777.371303,, 0.9728,0.230996,0.673269,590.129374,242.066028
1748539514.590,683777.375338,, 0.9728,0.230745,0.672141,590.053679,242.267050
1748539514.590,683777.379372,, 0.9642,0.229747,0.672923,589.809846,242.079359
1748539514.590,683777.383407,, 0.9642,0.228539,0.674415,589.520693,241.749756
1748539514.590,683777.387441,, 0.9474,0.225839,0.672962,588.822248,241.910884
1748539514.590,683777.391476,, 0.9474,0.225740,0.674426,588.812989,241.632280
1748539514.590,683777.395510,, 0.9258,0.226115,0.674752,588.911388,241.586574
1748539514.590,683777.399545,, 0.9258,0.225418,0.680352,588.796329,240.507797
1748539514.625,683777.403579,, 0.9795,0.223606,0.680492,588.135434,240.090730
1748539514.625,683777.407614,, 0.9795,0.222074,0.678854,587.730315,240.334760
1748539514.625,683777.411648,, 0.9451,0.222317,0.675385,587.753647,240.995424
1748539514.625,683777.415683,, 0.9451,0.223532,0.674943,588.056037,241.128406
1748539514.625,683777.419717,, 0.9318,0.223171,0.672943,587.942793,241.488637
1748539514.625,683777.423752,, 0.9318,0.223379,0.670942,587.973595,241.872342
1748539514.625,683777.427786,, 0.9540,0.218652,0.667306,586.738560,242.359430
1748539514.625,683777.431821,, 0.9540,0.218529,0.666118,586.694553,242.577140
1748539514.658,683777.435855,, 0.9684,0.223605,0.661539,587.595032,243.426601
1748539514.658,683777.439890,, 0.9684,0.219928,0.665746,586.710708,242.485528
1748539514.658,683777.443925,, 0.9572,0.217072,0.666687,585.998320,242.190940
1748539514.658,683777.447959,, 0.9572,0.215190,0.665229,585.505892,242.386614
1748539514.658,683777.451994,, 0.9314,0.213272,0.664421,585.011596,242.458868
1748539514.658,683777.456028,, 0.9314,0.212773,0.663736,584.877561,242.566684
1748539514.658,683777.460063,, 0.9790,0.210112,0.661792,584.182645,242.821463
1748539514.658,683777.464097,, 0.9790,0.208000,0.661567,583.645777,242.776292
1748539514.689,683777.468132,, 0.9683,0.212346,0.659322,584.318241,243.141729
1748539514.689,683777.472166,, 0.9683,0.210824,0.657822,583.916505,243.360395
1748539514.689,683777.476201,, 0.9232,0.210768,0.660498,583.931475,242.856037
1748539514.689,683777.480235,, 0.9232,0.205828,0.659305,582.667476,242.876145
1748539514.689,683777.484270,, 0.9400,0.215304,0.668171,585.164122,241.603492
1748539514.689,683777.488304,, 0.9400,0.210646,0.664483,583.944149,242.103225
1748539514.689,683777.492339,, 0.9091,0.221086,0.668004,586.626586,241.873213
1748539514.689,683777.496374,, 0.9091,0.217830,0.647014,585.572582,245.677193
1748539514.726,683777.500408,, 0.8700,0.221958,0.649029,586.443732,245.301970
1748539514.726,683777.504443,, 0.8700,0.225816,0.640624,587.331297,247.038818
1748539514.757,683777.507343,, 1.0000,0.324427,0.740469,613.329812,232.257956
1748539514.758,683777.515412,, 0.5019,0.153240,0.236780,564.680808,319.762183
1748539514.792,683777.531550,, 0.3850,0.288346,0.258507,598.934208,320.935822
1748539514.793,683777.539619,, 0.2892,0.171803,0.256516,569.397524,316.536795
1748539514.793,683777.547688,, 0.2683,0.135491,0.257027,560.206063,314.953681
1748539514.793,683777.555757,, 0.2868,0.447596,0.358470,640.289323,308.687588
1748539514.793,683777.563826,, 0.2766,0.179712,0.046835,569.255351,356.232085
1748539514.825,683777.571895,, 0.2341,0.280505,0.130173,595.520866,344.441047
1748539514.825,683777.579964,, 0.2598,0.693988,0.596296,705.124623,273.848737
1748539514.825,683777.612240,, 0.3715,0.159911,0.337374,567.126543,300.591949
1748539514.825,683777.620309,, 0.4196,0.156653,0.330818,566.233039,301.689523
1748539514.825,683777.628378,, 0.4017,0.167265,0.345908,569.078651,299.290521
1748539514.859,683777.636447,, 0.3539,0.178341,0.359669,571.861509,297.132591
1748539514.859,683777.641617,, 0.8814,0.441104,0.863004,643.682791,213.345109
1748539514.859,683777.645651,, 0.7733,0.429152,0.875557,640.782652,210.495938
1748539514.859,683777.649686,, 0.7428,0.424745,0.895855,639.875659,206.501169
1748539514.859,683777.652586,, 0.7406,0.333082,0.755109,615.181871,229.183960
1748539514.894,683777.660655,, 0.9723,0.289848,0.785383,604.386287,221.802036
1748539514.894,683777.684862,, 0.8635,0.254579,0.833068,595.935666,211.396037
1748539514.957,683777.717138,, 0.9634,0.263280,0.862081,598.390295,206.598132
1748539514.957,683777.725207,, 1.0000,0.262587,0.866921,598.264667,205.660868
1748539514.993,683777.733276,, 1.0000,0.348361,0.903346,620.312880,202.487997
1748539514.993,683777.741345,, 0.9708,0.375313,0.914152,627.250665,201.560640
1748539514.993,683777.749414,, 1.0000,0.392846,0.921977,631.771942,200.807665
1748539514.993,683777.757483,, 1.0000,0.403084,0.928893,634.436508,199.927433
1748539514.993,683777.765552,, 1.0000,0.409623,0.930162,636.105752,199.956419
1748539514.993,683777.773621,, 1.0000,0.409642,0.931617,636.125715,199.683940
1748539514.993,683777.781690,, 1.0000,0.414063,0.927200,637.199401,200.694289
1748539515.091,683777.887722,, 0.9077,0.518684,0.925177,663.868105,205.643994
1748539515.092,683777.891757,, 0.9077,0.520510,0.921058,664.286867,206.491319
1748539515.092,683777.895791,, 0.9158,0.538274,0.934873,668.932608,204.622272
1748539515.092,683777.899826,, 0.9158,0.539772,0.932742,669.289307,205.083235
1748539515.126,683777.903860,, 0.8998,0.539388,0.931756,669.204741,205.199598
1748539515.126,683777.907895,, 0.8998,0.541035,0.930129,669.605519,205.572265
1748539515.126,683777.911930,, 0.8990,0.541018,0.929175,669.591360,205.750635
1748539515.126,683777.915964,, 0.8990,0.542549,0.928587,669.973786,205.923540
1748539515.126,683777.919999,, 0.9114,0.550142,0.936756,671.986334,204.699918
1748539515.126,683777.924033,, 0.9114,0.550428,0.936555,672.056932,204.749413
1748539515.126,683777.928068,, 0.9106,0.560328,0.943462,674.641896,203.856893
1748539515.126,683777.932102,, 0.9106,0.563857,0.943263,675.535448,204.038259
1748539515.126,683777.936137,, 0.8992,0.564187,0.943351,675.620232,204.035372
1748539515.126,683777.940171,, 0.8992,0.563783,0.944664,675.531387,203.772188
1748539515.161,683777.944206,, 0.8918,0.564217,0.945028,675.577359,203.707376
1748539515.162,683777.948240,, 0.8918,0.566221,0.944548,676.081258,203.879111
1748539515.162,683777.952274,, 0.9109,0.574964,0.956443,678.429121,202.002171
1748539515.162,683777.956309,, 0.9109,0.580208,0.957656,679.773609,201.988127
1748539515.162,683777.960344,, 0.9050,0.585698,0.967723,681.275903,200.321803
1748539515.162,683777.964378,, 0.9050,0.587271,0.968617,681.684935,200.218059
1748539515.162,683777.968413,, 0.9459,0.594674,0.979242,683.679013,198.524760
1748539515.162,683777.972447,, 0.9459,0.598065,0.980238,684.550595,198.476018
1748539515.193,683777.976482,, 0.8975,0.599332,0.978659,684.149757,198.583320
1748539515.193,683777.980516,, 0.8975,0.601540,0.978179,684.704846,198.763128
