localTimestamp,deviceTimestamp,step,confidence,surfaceX,surfaceY,imageX,imageY
1748542081.762,686344.559008,stop, 0.9674,0.104451,0.004709,420.740805,412.941814
1748542081.794,686344.579181,stop, 0.9631,0.107800,0.002376,422.215472,414.246791
1748542082.262,686345.059289,stop, 0.9549,0.161746,0.004541,439.302991,415.413407
1748542082.262,686345.063324,stop, 0.9549,0.161911,0.007868,439.286018,414.722813
1748542082.262,686345.067358,stop, 0.9216,0.164903,0.008531,440.252931,414.619996
1748542082.298,686345.071393,stop, 0.8465,0.164297,0.013647,439.655424,413.422645
1748542082.298,686345.075427,stop, 0.8317,0.169962,0.013636,441.511338,413.492344
1748542082.298,686345.079462,stop, 0.8011,0.168448,0.012123,441.047596,413.789324
1748542082.298,686345.083496,stop, 0.8573,0.184625,0.032847,445.903458,409.666242
1748542082.298,686345.087531,stop, 0.9303,0.184256,0.033310,445.772633,409.565456
1748542082.298,686345.091565,stop, 0.9674,0.176250,0.028147,443.260708,410.545372
1748542082.298,686345.095600,stop, 0.9437,0.178931,0.025969,444.185506,411.030793
1748542082.298,686345.099635,stop, 0.8919,0.175162,0.020825,443.060979,412.057294
1748542082.298,686345.103669,stop, 0.9272,0.174813,0.016681,443.035247,412.916067
1748542082.298,686345.107704,stop, 0.9144,0.184319,0.007669,446.342072,414.905654
1748542082.330,686345.111738,stop, 0.9089,0.181445,0.021315,445.035415,412.322426
1748542082.330,686345.115772,stop, 0.9497,0.175165,0.006816,443.284435,415.265319
1748542082.330,686345.119807,stop, 0.9562,0.174569,0.007850,443.066609,415.042429
1748542082.330,686345.123841,stop, 0.9607,0.166293,0.007834,440.349364,414.942965
1748542082.330,686345.127876,stop, 0.9487,0.167505,0.003588,440.838550,415.842814
1748542082.430,686345.212601,stop, 0.9681,0.126653,0.009636,427.691665,414.773385
1748542082.497,686345.281188,stop, 0.8547,0.067421,0.015388,407.828493,414.216184
1748542082.497,686345.285223,stop, 0.8736,0.056418,0.025824,404.000082,411.907151
1748542082.497,686345.289257,stop, 0.8886,0.055645,0.036247,403.528954,409.727888
1748542082.497,686345.293292,stop, 0.8884,0.043627,0.023854,399.844353,412.158216
1748542082.497,686345.297326,stop, 0.8631,0.046411,0.016770,400.905727,413.667330
1748542082.497,686345.301361,stop, 0.8677,0.029058,0.018797,395.169738,413.029849
1748542082.530,686345.305395,stop, 0.9281,0.034621,0.002722,397.319308,416.584694
1748542082.530,686345.309430,stop, 0.9252,0.036579,0.001516,397.986736,416.859955
1748542082.530,686345.317499,stop, 0.9338,0.046353,0.005756,401.103849,416.099181
1748542082.530,686345.325568,stop, 0.8840,0.066361,0.004402,407.693934,416.629769
1748542082.566,686345.341706,stop, 0.9179,0.113052,0.002575,422.883186,417.752161
1748542082.566,686345.345740,stop, 0.8328,0.113313,0.001147,422.998343,418.052472
1748542082.566,686345.349775,stop, 0.8809,0.123311,0.004396,426.211305,417.500779
1748542082.566,686345.353810,stop, 0.9544,0.124021,0.000310,426.528873,418.359899
1748542082.598,686345.378017,stop, 0.9394,0.135271,0.000643,429.791833,418.443516
1748542082.630,686345.418361,stop, 0.9231,0.148079,0.004562,433.623157,417.662018
1748542082.630,686345.438534,stop, 0.9017,0.134625,0.000196,429.298678,418.404712
1748542082.666,686345.442569,stop, 0.8650,0.134242,0.002272,429.358655,417.792151
1748542082.667,686345.454673,stop, 0.9142,0.139974,0.001661,431.255229,417.991486
1748542082.667,686345.458707,stop, 0.8876,0.137204,0.007820,430.216634,416.675037
1748542082.667,686345.470811,stop, 0.8845,0.161215,0.016276,437.932641,415.217321
1748542082.667,686345.474845,stop, 0.9268,0.161696,0.020579,438.001115,414.327799
1748542082.698,686345.478880,stop, 0.9182,0.160240,0.021330,437.574411,414.059006
1748542082.698,686345.482914,stop, 0.8884,0.158325,0.028103,436.804197,412.626140
1748542082.698,686345.486948,stop, 0.8869,0.156323,0.028199,436.145291,412.581726
1748542082.698,686345.490983,stop, 0.8825,0.157401,0.023650,436.594177,413.541411
1748542082.698,686345.495018,stop, 0.8681,0.159591,0.032093,437.136458,411.811402
1748542082.698,686345.499053,stop, 0.8516,0.159118,0.039342,436.829725,410.297392
1748542082.698,686345.503087,stop, 0.9182,0.160393,0.046565,437.097376,408.810050
1748542082.733,686345.507122,stop, 0.9367,0.156427,0.050021,435.678972,408.069521
1748542082.733,686345.511156,stop, 0.8942,0.162305,0.060203,437.395780,406.021960
1748542082.733,686345.515191,stop, 0.8835,0.164399,0.058813,438.111995,406.336826
1748542082.733,686345.519225,stop, 0.8406,0.177695,0.087625,441.874593,400.501895
1748542082.733,686345.523260,stop, 0.8382,0.176613,0.088605,441.498978,400.284754
