id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
0,1120007.64468,129.10500005818903,0,2,0.45941352160923826,0.5508585319487578,0.9742287336576422,1.0,3d gaze,-11.110750909486697,-18.30595880433041,195.21983411993656,1120007.64468 1120007.6487145 1120007.6527490001 1120007.6567835 1120007.6608179999 1120007.6648525 1120007.668887 1120007.6729215 1120007.676956 1120007.680991 1120007.6850255001 1120007.68906 1120007.6930944999 1120007.697129 1120007.7011635 1120007.7051980002 1120007.7092325 1120007.713267 1120007.7173015 1120007.7213360001 1120007.7253705 1120007.7294049999 1120007.73344 1120007.7374745 1120007.7415089998 1120007.7455435 1120007.749578 1120007.7536125001 1120007.757647 1120007.7616815 1120007.765716 1120007.7697505 1120007.773785
1,1120007.834303,88.75950006768107,4,7,0.443629137751254,0.4864753104528376,1.4692692565428853,0.997304151887479,3d gaze,-13.511899541251076,-5.76843288347841,164.3181410821944,1120007.834303 1120007.8383375 1120007.842372 1120007.8464064999 1120007.850441 1120007.8544755 1120007.8585100002 1120007.8625445 1120007.866579 1120007.8706135 1120007.874648 1120007.8786825 1120007.8827169999 1120007.8867515 1120007.890786 1120007.8948205002 1120007.898855 1120007.9028895 1120007.906924 1120007.9109585 1120007.9149934999 1120007.919028 1120007.9230625
2,1120007.9270974998,209.79500003159046,7,13,0.4418955607142138,0.4753117541553903,1.483165049938082,0.999788447371069,3d gaze,-13.54335464564664,-3.932089594776383,159.07483694224837,1120007.9270974998 1120007.931132 1120007.9351665 1120007.9392010001 1120007.9432355 1120007.94727 1120007.9513045 1120007.955339 1120007.9593735 1120007.9634079998 1120007.9674425 1120007.971477 1120007.9755115001 1120007.979546 1120007.9835805 1120007.987615 1120007.9916495 1120007.995684 1120007.9997184998 1120008.003753 1120008.0077875 1120008.0118220001 1120008.0158565 1120008.0198915 1120008.023926 1120008.0279605 1120008.0319949999 1120008.0360295 1120008.040064 1120008.0440985 1120008.048133 1120008.0521675 1120008.056202 1120008.0602365 1120008.064271 1120008.0683054999 1120008.07234 1120008.0763745 1120008.0804090002 1120008.0844435 1120008.088478 1120008.0925125 1120008.096547 1120008.1005815 1120008.1046159999 1120008.1086505 1120008.112685 1120008.1167195 1120008.120754 1120008.1247885 1120008.128823 1120008.1328575 1120008.1368924999
3,1120008.1409275,217.86449989303946,13,20,0.44603924742425,0.4502110325640315,0.7498733782059238,1.0,3d gaze,-12.802810314554602,-0.31241803695067744,163.40055171337653,1120008.1409275 1120008.144962 1120008.1489965 1120008.153031 1120008.1570655 1120008.1611000001 1120008.1651345 1120008.169169 1120008.1732035 1120008.177238 1120008.1812725 1120008.1853069998 1120008.1893415 1120008.193376 1120008.1974105001 1120008.201445 1120008.2054795 1120008.209514 1120008.2135485 1120008.217583 1120008.2216175 1120008.225652 1120008.2296865 1120008.2337210001 1120008.2377555 1120008.24179 1120008.2458245 1120008.249859 1120008.2538939998 1120008.2579285 1120008.261963 1120008.2659975002 1120008.270032 1120008.2740665 1120008.278101 1120008.2821355 1120008.28617 1120008.2902044998 1120008.294239 1120008.2982735 1120008.3023080002 1120008.3063425 1120008.310377 1120008.3144115 1120008.318446 1120008.3224805 1120008.3265149998 1120008.3305495 1120008.334584 1120008.338619 1120008.3426535 1120008.346688 1120008.3507225001 1120008.354757 1120008.358792
4,1120008.3628265,213.82949990220368,20,26,0.4493597382720055,0.4560463343143507,0.7398647388546266,1.0,3d gaze,-12.948330049414812,-1.2899351301122681,177.57164242342557,1120008.3628265 1120008.366861 1120008.3708954998 1120008.37493 1120008.3789645 1120008.3829990001 1120008.3870335 1120008.3910679999 1120008.3951025 1120008.399137 1120008.4031715 1120008.4072059998 1120008.4112405 1120008.415275 1120008.4193095001 1120008.423344 1120008.4273784999 1120008.431413 1120008.4354475 1120008.439482 1120008.4435164998 1120008.447551 1120008.4515855 1120008.4556200001 1120008.4596545 1120008.4636889999 1120008.4677235 1120008.4717585 1120008.4757929998 1120008.4798275 1120008.483862 1120008.4878965002 1120008.491931 1120008.4959655 1120008.5 1120008.5040345 1120008.508069 1120008.5121034998 1120008.516138 1120008.5201725 1120008.5242070002 1120008.5282415 1120008.5322765 1120008.5363110001 1120008.5403455 1120008.5443799999 1120008.5484145 1120008.552449 1120008.5564835002 1120008.560518 1120008.5645525 1120008.568587 1120008.5726215001 1120008.576656
5,1120008.584725,217.86449989303946,26,33,0.45222682214106175,0.4707589010522632,0.9714436708784745,0.9995492003180764,3d gaze,-13.152456692797498,-3.997190351809597,192.5128864094585,1120008.584725 1120008.5887595 1120008.5927945 1120008.596829 1120008.6008635 1120008.6048980001 1120008.6089325 1120008.6129669999 1120008.6170015 1120008.621036 1120008.6250705 1120008.629105 1120008.6331395 1120008.637174 1120008.6412085001 1120008.645243 1120008.6492774999 1120008.653312 1120008.6573465 1120008.661381 1120008.6654155 1120008.66945 1120008.6734845 1120008.6775190001 1120008.6815535 1120008.6855879999 1120008.6896225 1120008.693657 1120008.6976919998 1120008.7017265 1120008.705761 1120008.7097955002 1120008.71383 1120008.7178645 1120008.721899 1120008.7259335 1120008.729968 1120008.7340024998 1120008.738037 1120008.742072 1120008.7461065 1120008.750141 1120008.7541755 1120008.75821 1120008.7622445 1120008.7662789999 1120008.7703135 1120008.774348 1120008.7783825002 1120008.782417 1120008.7864515 1120008.790486 1120008.7945205 1120008.798555 1120008.8025894999
6,1120008.806624,217.86449989303946,33,40,0.446143810144063,0.4725696448215441,1.0847302874223022,1.0,3d gaze,-14.57539558964717,-4.170433738903907,186.78232987907796,1120008.806624 1120008.810659 1120008.8146934998 1120008.818728 1120008.8227625 1120008.8267970001 1120008.8308315 1120008.8348659999 1120008.8389005 1120008.842935 1120008.8469695002 1120008.851004 1120008.8550385 1120008.859073 1120008.8631075001 1120008.867142 1120008.8711764999 1120008.875211 1120008.8792455 1120008.88328 1120008.8873144998 1120008.891349 1120008.8953835 1120008.8994180001 1120008.9034525 1120008.9074869999 1120008.9115215 1120008.915556 1120008.9195905002 1120008.923625 1120008.9276595 1120008.9316945001 1120008.935729 1120008.9397635 1120008.9437985 1120008.947833 1120008.9518674999 1120008.955902 1120008.9599365 1120008.9639710002 1120008.9680055 1120008.97204 1120008.9760745 1120008.980109 1120008.9841435 1120008.9881779999 1120008.9922125 1120008.996247 1120009.0002815002 1120009.004316 1120009.0083505 1120009.012385 1120009.0164195 1120009.020454 1120009.0244884999
7,1120009.028523,217.86449989303946,40,46,0.44041339655609324,0.47615070614211447,0.714389346802515,1.0,3d gaze,-15.971485079085738,-4.66648346314349,182.50833731030312,1120009.028523 1120009.0325575 1120009.0365920002 1120009.0406265 1120009.0446615 1120009.0486960001 1120009.0527305 1120009.0567649999 1120009.0607995 1120009.064834 1120009.0688685 1120009.072903 1120009.0769375 1120009.080972 1120009.0850065001 1120009.089041 1120009.0930754999 1120009.09711 1120009.1011445 1120009.105179 1120009.1092135 1120009.113248 1120009.1172825 1120009.1213170001 1120009.1253515 1120009.1293859999 1120009.1334205 1120009.1374555 1120009.1414899998 1120009.1455245 1120009.149559 1120009.1535935001 1120009.1576285 1120009.161663 1120009.1656975 1120009.169732 1120009.1737664999 1120009.177801 1120009.1818355 1120009.18587 1120009.1899045 1120009.193939 1120009.1979735 1120009.202008 1120009.2060425 1120009.2100769999 1120009.2141115 1120009.218146 1120009.2221805002 1120009.226215 1120009.2302495 1120009.234284 1120009.2383185 1120009.242353 1120009.2463874999
8,1120009.250422,217.86449989303946,46,53,0.4378630197761793,0.4655377805612978,0.6187679463863976,1.0,3d gaze,-15.999296826052579,-2.7804066530088796,174.5077244824701,1120009.250422 1120009.2544565 1120009.258491 1120009.262526 1120009.2665605 1120009.2705950001 1120009.2746295 1120009.2786639999 1120009.2826985 1120009.286733 1120009.2907675002 1120009.294802 1120009.2988365 1120009.302871 1120009.3069055001 1120009.31094 1120009.3149744999 1120009.319009 1120009.3230435 1120009.327078 1120009.3311124998 1120009.335147 1120009.3391815 1120009.3432160001 1120009.3472509999 1120009.3512855 1120009.35532 1120009.3593545 1120009.363389 1120009.3674235 1120009.371458 1120009.3754925001 1120009.379527 1120009.383562 1120009.3875965 1120009.391631 1120009.3956654998 1120009.3997 1120009.4037345 1120009.4077690002 1120009.415838 1120009.4198725 1120009.423907 1120009.4279415 1120009.4319759998 1120009.4360105 1120009.440045 1120009.4440795002 1120009.448114 1120009.4521485 1120009.456183 1120009.4602175 1120009.464252 1120009.4682864998
9,1120009.472321,193.65750020369887,53,59,0.44236891681885293,0.46712436141949726,1.4373597105826394,0.9999499527775512,3d gaze,-15.307392865529938,-3.1662311726209573,182.09642267398388,1120009.472321 1120009.4763555 1120009.4803900002 1120009.4844245 1120009.488459 1120009.4924935 1120009.4965285 1120009.5005629999 1120009.5045975 1120009.508632 1120009.5126665002 1120009.516701 1120009.5207355 1120009.52477 1120009.5288045001 1120009.532839 1120009.5368734999 1120009.5409085 1120009.544943 1120009.5489774998 1120009.553012 1120009.5570465 1120009.5610810001 1120009.5651155 1120009.5691499999 1120009.5731845 1120009.577219 1120009.5812535002 1120009.585288 1120009.5893225 1120009.593357 1120009.5973915001 1120009.6014265 1120009.605461 1120009.6094955 1120009.61353 1120009.6175644998 1120009.621599 1120009.6256335 1120009.629668 1120009.6337025 1120009.637737 1120009.6417715 1120009.645806 1120009.6498405 1120009.653875 1120009.6579095 1120009.661944 1120009.6659785002
