Timestamp,Local time,Battery Level,Battery Percent,Wireless Signal,Overall Quality,Quality Sensor 0,Quality Sensor 1,Quality Sensor 2,Quality Sensor 3,Quality Sensor 4
"1785194375.3165","16:19:35.316","4","87","1.0","83","4","4","2","4","4"
"1785194375.8158","16:19:35.815","4","87","1.0","83","4","4","2","4","4"
"1785194376.316","16:19:36.316","4","87","1.0","83","4","4","2","4","4"
"1785194376.816","16:19:36.816","4","87","1.0","100","4","4","4","4","4"
"1785194377.3158","16:19:37.315","4","87","1.0","100","4","4","4","4","4"
"1785194377.8163","16:19:37.816","4","87","1.0","100","4","4","4","4","4"
"1785194378.3159","16:19:38.315","4","87","1.0","100","4","4","4","4","4"
"1785194378.8154","16:19:38.815","4","87","1.0","100","4","4","4","4","4"
"1785194379.3155","16:19:39.315","4","87","1.0","83","4","4","2","4","4"
"1785194379.8154","16:19:39.815","4","87","1.0","100","4","4","4","4","4"
"1785194380.315","16:19:40.315","4","87","1.0","83","4","4","2","4","4"
"1785194380.815","16:19:40.815","4","87","1.0","83","4","2","4","4","4"
"1785194381.3151","16:19:41.315","4","87","1.0","83","4","4","2","4","4"
"1785194381.8147","16:19:41.814","4","87","1.0","83","4","4","2","4","4"
"1785194382.3152","16:19:42.315","4","87","1.0","83","4","4","2","4","4"
"1785194382.815","16:19:42.815","4","87","1.0","83","4","4","2","4","4"
"1785194383.3147","16:19:43.314","4","87","1.0","83","4","4","2","4","4"
"1785194383.8147","16:19:43.814","4","87","1.0","83","4","4","2","4","4"
"1785194384.3142","16:19:44.314","4","87","1.0","83","4","4","2","4","4"
"1785194384.8138","16:19:44.813","4","87","1.0","83","4","4","2","4","4"
"1785194385.3139","16:19:45.313","4","87","1.0","83","4","4","2","4","4"
"1785194385.8137","16:19:45.813","4","87","1.0","83","4","4","2","4","4"
"1785194386.3135","16:19:46.313","4","87","1.0","100","4","4","4","4","4"
"1785194386.8136","16:19:46.813","4","87","1.0","67","4","4","2","4","2"
"1785194387.3138","16:19:47.313","4","87","1.0","83","4","4","2","4","4"
"1785194387.8131","16:19:47.813","4","87","1.0","100","4","4","4","4","4"
"1785194388.3127","16:19:48.312","4","87","1.0","83","4","4","2","4","4"
"1785194388.8128","16:19:48.812","4","87","1.0","83","4","4","2","4","4"
"1785194389.312","16:19:49.312","4","87","1.0","83","4","4","2","4","4"
"1785194389.8117","16:19:49.811","4","87","1.0","83","4","2","4","4","4"
"1785194390.3123","16:19:50.312","4","87","1.0","83","4","4","2","4","4"
"1785194390.812","16:19:50.812","4","87","1.0","100","4","4","4","4","4"
"1785194391.3114","16:19:51.311","4","87","1.0","83","4","4","2","4","4"
"1785194391.8119","16:19:51.811","4","87","1.0","67","4","2","2","4","4"
"1785194392.3111","16:19:52.311","4","87","1.0","83","4","4","2","4","4"
"1785194392.8105","16:19:52.810","4","87","1.0","100","4","4","4","4","4"
"1785194393.3114","16:19:53.311","4","87","1.0","83","4","4","2","4","4"
"1785194393.8111","16:19:53.811","4","87","1.0","83","4","4","2","4","4"
