Timestamp,Local time,Counter,Interpolated,Accelerometer X,Accelerometer Y,Accelerometer Z,Magnetometer X,Magnetometer Y,Magnetometer Z,Quaternion 0,Quaternion 1,Quaternion 2,Quaternion 3
1784589597.4233,16:19:57.423,26,false,0.661611,-0.417175,0.462708,0.417297,0.995621,0.183108,-0.239261,-23.760984,-35.189914,10.618176
1784589597.4546,16:19:57.454,27,false,0.662917,-0.416321,0.462158,0.416687,0.986343,0.187015,-0.237797,-23.882177,-35.274798,10.603128
1784589597.4857,16:19:57.485,28,false,0.663521,-0.416321,0.461731,0.416199,0.986343,0.176761,-0.240726,-23.931436,-35.366148,10.604538
1784589597.5169,16:19:57.516,29,false,0.664704,-0.416565,0.461182,0.414673,0.972671,0.174807,-0.247074,-23.915953,-35.35864,10.560945
1784589597.548,16:19:57.548,30,false,0.666629,-0.41626,0.460266,0.412903,0.938979,0.183108,-0.236332,-23.976788,-35.351882,10.47685
1784589597.5792,16:19:57.579,31,false,0.667306,-0.416199,0.459778,0.412415,0.953628,0.189456,-0.237797,-23.732462,-35.42057,10.401165
1784589597.6103,16:19:57.610,0,false,0.669048,-0.416199,0.458008,0.41156,0.958022,0.191409,-0.229984,-23.647154,-35.317897,10.288187
1784589597.6414,16:19:57.641,1,false,0.670047,-0.415955,0.457153,0.411133,0.962905,0.202152,-0.229984,-23.58533,-35.240444,10.380906
1784589597.6726,16:19:57.672,2,false,0.67146,-0.415222,0.455688,0.411194,0.94435,0.196292,-0.239261,-23.454919,-35.170737,10.284907
1784589597.7039,16:19:57.703,3,false,0.672747,-0.413757,0.454956,0.411377,0.946792,0.167483,-0.242679,-23.621673,-35.197724,10.318139
1784589597.7352,16:19:57.735,4,false,0.674282,-0.411499,0.454346,0.411804,0.96144,0.164065,-0.261234,-23.696982,-35.117335,10.213464
1784589597.7666,16:19:57.766,5,false,0.67641,-0.407776,0.45343,0.413025,0.975113,0.169924,-0.282231,-23.600267,-35.134708,10.134209
1784589597.7979,16:19:57.797,6,false,0.678191,-0.404663,0.453613,0.412964,0.98732,0.170901,-0.283696,-23.528178,-35.030713,10.077834
1784589597.8293,16:19:57.829,7,false,0.67938,-0.402039,0.454224,0.412903,0.986831,0.176761,-0.277348,-23.478252,-35.026841,9.967281
1784589597.8606,16:19:57.860,8,false,0.680138,-0.398804,0.455994,0.412842,0.961929,0.177249,-0.266606,-23.448272,-35.068217,9.897691
1784589597.8917,16:19:57.891,9,false,0.680038,-0.397461,0.457092,0.413086,0.973648,0.181155,-0.271977,-23.256798,-35.165271,9.850014
1784589597.9229,16:19:57.922,10,false,0.679086,-0.396851,0.458374,0.413818,0.980484,0.187991,-0.26807,-23.204102,-35.177851,9.702428
1784589597.954,16:19:57.954,11,false,0.678459,-0.396912,0.458862,0.414246,0.978531,0.17969,-0.242679,-23.022091,-35.144311,9.689231
1784589597.9852,16:19:57.985,12,false,0.676173,-0.397522,0.460327,0.415771,0.963394,0.171389,-0.244144,-22.992866,-35.233755,9.737169
1784589598.0163,16:19:58.016,13,false,0.674713,-0.397888,0.460938,0.417114,0.966812,0.156741,-0.241703,-23.011425,-35.224533,9.69059
1784589598.0474,16:19:58.047,14,false,0.673114,-0.397766,0.461609,0.419067,0.97023,0.145022,-0.244633,-23.117851,-35.36577,9.603808
1784589598.0788,16:19:58.078,15,false,0.672248,-0.3974,0.461853,0.420532,0.979995,0.144533,-0.257816,-23.153819,-35.3583,9.615427
1784589598.1101,16:19:58.110,16,false,0.671458,-0.396912,0.461975,0.422119,0.979995,0.138186,-0.245121,-23.126375,-35.261854,9.431484
1784589598.1415,16:19:58.141,17,false,0.67093,-0.396118,0.461914,0.423767,0.98732,0.140627,-0.255375,-23.101675,-35.279729,9.370612
1784589598.1728,16:19:58.172,18,false,0.670948,-0.39563,0.461914,0.424194,0.978531,0.142092,-0.26807,-23.079445,-35.191139,9.315828
1784589598.2041,16:19:58.204,19,false,0.671145,-0.395325,0.461609,0.4245,0.963394,0.130373,-0.270024,-23.119254,-35.275901,9.326337
1784589598.2355,16:19:58.235,20,false,0.671284,-0.395386,0.46051,0.425415,0.959487,0.14258,-0.273442,-23.244805,-35.232556,9.201211
