DateTime,Timestamp,Trial,MoveNumber,From,To,MoveDurationSeconds,HelpUsed,ErrorsThisMove,ErrorDetails
2026-07-20_16-20-58.316,1784589658.316,1,1,A,C,10,FALSE,0,
2026-07-20_16-21-10.525,1784589670.525,1,2,A,B,12,FALSE,0,
2026-07-20_16-21-24.139,1784589684.139,1,3,C,B,13,FALSE,0,
2026-07-20_16-21-40.653,1784589700.653,1,4,A,C,16,FALSE,0,
2026-07-20_16-21-57.805,1784589717.805,1,5,B,A,17,FALSE,0,
2026-07-20_16-22-11.255,1784589731.255,1,6,B,C,13,FALSE,0,
2026-07-20_16-22-25.039,1784589745.039,1,7,A,C,13,FALSE,0,
2026-07-20_16-22-38.273,1784589758.273,1,8,A,B,13,FALSE,0,
2026-07-20_16-23-42.735,1784589822.735,1,9,C,A,64,FALSE,0,
2026-07-20_16-24-08.639,1784589848.639,1,10,C,B,25,FALSE,0,
2026-07-20_16-24-20.443,1784589860.443,1,11,A,B,11,FALSE,0,
2026-07-20_16-25-11.429,1784589911.429,1,12,C,A,50,TRUE,0,
2026-07-20_16-25-47.335,1784589947.335,1,13,B,A,35,FALSE,0,
2026-07-20_16-26-12.444,1784589972.444,1,14,A,C,25,FALSE,0,
2026-07-20_16-26-26.214,1784589986.214,1,15,B,A,13,FALSE,0,
2026-07-20_16-26-39.480,1784589999.480,1,16,C,A,13,FALSE,0,
2026-07-20_16-26-52.600,1784590012.600,1,17,B,C,13,FALSE,0,
2026-07-20_16-27-12.622,1784590032.622,1,18,A,B,20,FALSE,0,
2026-07-20_16-27-29.154,1784590049.154,1,19,B,C,16,FALSE,0,
2026-07-20_16-27-40.444,1784590060.444,1,20,A,B,11,FALSE,0,
2026-07-20_16-27-52.830,1784590072.830,1,21,C,B,12,FALSE,0,
2026-07-20_16-28-05.483,1784590085.483,1,22,A,C,12,FALSE,0,
2026-07-20_16-28-23.382,1784590103.382,1,23,B,A,17,FALSE,0,
2026-07-20_16-28-36.114,1784590116.114,1,24,B,C,12,FALSE,0,
2026-07-20_16-28-48.622,1784590128.622,1,25,A,C,12,FALSE,0,
2026-07-20_16-29-02.965,1784590142.965,1,26,A,B,14,FALSE,0,
2026-07-20_16-29-17.214,1784590157.214,1,27,C,A,14,FALSE,0,
2026-07-20_16-29-29.736,1784590169.736,1,28,C,B,12,FALSE,0,
2026-07-20_16-29-41.814,1784590181.814,1,29,A,B,12,FALSE,0,
2026-07-20_16-30-12.302,1784590212.302,1,30,B,C,30,FALSE,0,
2026-07-20_16-30-23.784,1784590223.784,1,31,C,B,11,FALSE,0,
2026-07-20_16-30-36.361,1784590236.361,1,32,C,A,12,FALSE,0,
2026-07-20_16-31-36.383,1784590296.383,1,33,B,C,60,FALSE,0,
2026-07-20_16-31-48.586,1784590308.586,1,34,B,A,12,FALSE,0,
2026-07-20_16-32-01.077,1784590321.077,1,35,C,A,12,FALSE,0,
2026-07-20_16-32-14.723,1784590334.723,1,36,C,B,13,FALSE,0,
2026-07-20_16-32-28.602,1784590348.602,1,37,A,C,13,FALSE,0,
2026-07-20_16-32-40.358,1784590360.358,1,38,A,B,11,FALSE,0,
2026-07-20_16-32-52.857,1784590372.857,1,39,C,B,12,FALSE,0,
2026-07-20_16-33-06.980,1784590386.980,1,40,A,C,14,FALSE,0,
2026-07-20_16-33-45.282,1784590425.282,1,41,B,A,38,FALSE,0,
2026-07-20_16-34-01.929,1784590441.929,1,42,A,C,16,FALSE,0,
2026-07-20_16-34-13.893,1784590453.893,1,43,B,A,11,FALSE,0,
2026-07-20_16-34-29.577,1784590469.577,1,44,C,A,15,FALSE,0,
2026-07-20_16-34-49.194,1784590489.194,1,45,C,B,19,FALSE,0,
2026-07-20_16-35-02.560,1784590502.560,1,46,A,C,13,FALSE,0,
2026-07-20_16-35-14.279,1784590514.279,1,47,A,B,11,FALSE,0,
2026-07-20_16-35-26.617,1784590526.617,1,48,C,B,12,FALSE,0,
2026-07-20_16-35-40.038,1784590540.038,1,49,A,C,13,FALSE,0,
2026-07-20_16-36-33.650,1784590593.650,1,50,B,C,53,FALSE,0,
2026-07-20_16-36-45.069,1784590605.069,1,51,B,A,11,FALSE,0,
2026-07-20_16-36-58.133,1784590618.133,1,52,C,A,13,FALSE,0,
2026-07-20_16-37-11.055,1784590631.055,1,53,B,C,12,FALSE,0,
2026-07-20_16-37-25.417,1784590645.417,1,54,A,B,14,FALSE,0,
2026-07-20_16-37-38.598,1784590658.598,1,55,A,C,13,FALSE,0,
2026-07-20_16-37-50.184,1784590670.184,1,56,B,C,11,FALSE,0,
2026-07-20_16-38-02.185,1784590682.185,1,57,B,A,12,FALSE,0,
