Timestamp,Local time,Action Eye,Action Upper Face,Power Upper Face,Action Lower Face,Power Lower Face
1783984326.3935,16:12:06.393,neutral,surprise,0.139489,neutral,0.0
1783984326.4248,16:12:06.424,neutral,surprise,0.153969,neutral,0.0
1783984326.4561,16:12:06.456,neutral,surprise,0.153969,neutral,0.0
1783984326.4874,16:12:06.487,neutral,surprise,0.153969,neutral,0.0
1783984326.5185,16:12:06.518,neutral,surprise,0.153969,neutral,0.0
1783984326.5497,16:12:06.549,neutral,surprise,0.180368,neutral,0.0
1783984326.5808,16:12:06.580,neutral,surprise,0.180368,neutral,0.0
1783984326.6121,16:12:06.612,neutral,surprise,0.180368,neutral,0.0
1783984326.6433,16:12:06.643,neutral,surprise,0.180368,neutral,0.0
1783984326.6744,16:12:06.674,neutral,surprise,0.205572,neutral,0.0
1783984326.7056,16:12:06.705,neutral,surprise,0.205572,neutral,0.0
1783984326.7369,16:12:06.736,neutral,surprise,0.205572,neutral,0.0
1783984326.7682,16:12:06.768,neutral,surprise,0.205572,neutral,0.0
1783984326.7996,16:12:06.799,neutral,surprise,0.233488,neutral,0.0
1783984326.8309,16:12:06.830,neutral,surprise,0.233488,neutral,0.0
1783984326.8621,16:12:06.862,neutral,surprise,0.233488,neutral,0.0
1783984326.8932,16:12:06.893,neutral,surprise,0.233488,neutral,0.0
1783984326.9243,16:12:06.924,neutral,surprise,0.23449,neutral,0.0
1783984326.9555,16:12:06.955,neutral,surprise,0.23449,neutral,0.0
1783984326.9866,16:12:06.986,neutral,surprise,0.23449,neutral,0.0
1783984327.0178,16:12:07.017,neutral,surprise,0.23449,neutral,0.0
1783984327.0489,16:12:07.048,neutral,surprise,0.201143,neutral,0.0
1783984327.0802,16:12:07.080,neutral,surprise,0.201143,neutral,0.0
1783984327.1116,16:12:07.111,neutral,surprise,0.201143,neutral,0.0
1783984327.1429,16:12:07.142,neutral,surprise,0.201143,neutral,0.0
1783984327.1743,16:12:07.174,neutral,surprise,0.161359,neutral,0.0
1783984327.2056,16:12:07.205,neutral,surprise,0.161359,neutral,0.0
