Timestamp,Local time,Pleasure,Arousal,Dominance
1784931439.5465,15:17:19.546,0.98,0.09,0.15
1784931440.0463,15:17:20.046,0.98,0.10,0.14
1784931440.547,15:17:20.547,0.99,0.09,0.13
1784931441.0466,15:17:21.046,0.99,0.09,0.13
1784931441.5462,15:17:21.546,0.99,0.09,0.14
1784931442.0461,15:17:22.046,0.98,0.08,0.16
1784931442.5458,15:17:22.545,0.98,0.08,0.20
1784931443.0454,15:17:23.045,0.98,0.06,0.21
1784931443.546,15:17:23.546,0.97,0.06,0.22
1784931444.0459,15:17:24.045,0.98,0.09,0.20
1784931444.5455,15:17:24.545,0.97,0.23,0.05
1784931445.0459,15:17:25.045,0.97,0.22,0.03
1784931445.5451,15:17:25.545,0.97,0.25,-0.01
1784931446.0448,15:17:26.044,0.95,0.31,-0.06
1784931446.5448,15:17:26.544,0.94,0.33,-0.07
1784931447.0446,15:17:27.044,0.94,0.33,-0.08
1784931447.5441,15:17:27.544,0.98,0.18,0.09
1784931448.0445,15:17:28.044,0.98,0.20,0.08
1784931448.5443,15:17:28.544,0.97,0.21,0.08
1784931449.0437,15:17:29.043,0.97,0.22,0.09
1784931449.5442,15:17:29.544,0.97,0.22,0.13
1784931450.0438,15:17:30.043,0.97,0.19,0.15
1784931450.5434,15:17:30.543,0.97,0.18,0.16
1784931451.0437,15:17:31.043,0,0,0
1784931451.5436,15:17:31.543,0,0,0
1784931452.0426,15:17:32.042,0,0,0
1784931452.5426,15:17:32.542,0,0,0
1784931453.0433,15:17:33.043,0,0,0
1784931453.5429,15:17:33.542,0,0,0
1784931454.0425,15:17:34.042,0,0,0
1784931454.5422,15:17:34.542,0,0,0
1784931455.0416,15:17:35.041,0,0,0
1784931455.5414,15:17:35.541,0.93,0.36,-0.02
1784931456.0418,15:17:36.041,0.91,0.40,-0.08
1784931456.5413,15:17:36.541,0.90,0.43,-0.10
1784931457.0411,15:17:37.041,0,0,0
1784931457.5415,15:17:37.541,0,0,0
1784931458.0411,15:17:38.041,0,0,0
1784931458.5408,15:17:38.540,0,0,0
1784931459.0408,15:17:39.040,0,0,0
1784931459.5407,15:17:39.540,0,0,0
1784931460.0398,15:17:40.039,0,0,0
1784931460.54,15:17:40.540,0,0,0
1784931461.0398,15:17:41.039,0,0,0
1784931461.5394,15:17:41.539,0,0,0
1784931462.0395,15:17:42.039,0,0,0
1784931462.5389,15:17:42.538,0,0,0
1784931463.0383,15:17:43.038,0,0,0
1784931463.5386,15:17:43.538,0,0,0
1784931464.0384,15:17:44.038,0,0,0
1784931464.5382,15:17:44.538,0,0,0
1784931465.0385,15:17:45.038,0,0,0
1784931465.5389,15:17:45.538,0,0,0
1784931466.0381,15:17:46.038,0,0,0
1784931466.5377,15:17:46.537,0,0,0
1784931467.038,15:17:47.038,0,0,0
1784931467.5376,15:17:47.537,0,0,0
1784931468.0378,15:17:48.037,0,0,0
1784931468.5377,15:17:48.537,0,0,0
1784931469.0375,15:17:49.037,0.75,0.59,-0.30
1784931469.5377,15:17:49.537,0.82,0.53,-0.22
1784931470.0377,15:17:50.037,0.82,0.54,-0.21
1784931470.5372,15:17:50.537,0.79,0.57,-0.24
1784931471.0366,15:17:51.036,0,0,0
1784931471.5366,15:17:51.536,0.77,0.58,-0.27
1784931472.0363,15:17:52.036,0.77,0.57,-0.29
1784931472.5359,15:17:52.535,0,0,0
1784931473.0359,15:17:53.035,0,0,0
1784931473.5358,15:17:53.535,0,0,0
1784931474.0354,15:17:54.035,0,0,0
1784931474.5358,15:17:54.535,0,0,0
1784931475.0356,15:17:55.035,0,0,0
1784931475.5355,15:17:55.535,0.75,0.59,-0.30
1784931476.0355,15:17:56.035,0.75,0.59,-0.30
1784931476.5351,15:17:56.535,0.74,0.60,-0.29
1784931477.0352,15:17:57.035,0.74,0.61,-0.29
