Timestamp,Local time,Pleasure,Arousal,Dominance
1784322688.8463,14:11:28.846,0.91,0.35,-0.24
1784322689.3461,14:11:29.346,0.94,0.28,-0.21
1784322689.846,14:11:29.846,0.97,0.19,-0.12
1784322690.3455,14:11:30.345,0.97,0.19,-0.12
1784322690.8453,14:11:30.845,0.96,0.25,-0.11
1784322691.3456,14:11:31.345,0.98,0.22,0.02
1784322691.8449,14:11:31.844,0.96,0.27,0.01
1784322692.3449,14:11:32.344,0.95,0.32,0.02
1784322692.8447,14:11:32.844,0.94,0.33,0.04
1784322693.3441,14:11:33.344,0.94,0.34,0.08
1784322693.8439,14:11:33.843,0.94,0.32,0.09
1784322694.3447,14:11:34.344,0.94,0.34,0.08
1784322694.8441,14:11:34.844,0.93,0.37,0.08
1784322695.3435,14:11:35.343,0.92,0.38,0.08
1784322695.8435,14:11:35.843,0.92,0.38,0.09
1784322696.3433,14:11:36.343,0.92,0.37,0.10
1784322696.8431,14:11:36.843,0.93,0.36,0.10
1784322697.3436,14:11:37.343,0.94,0.34,0.10
1784322697.8432,14:11:37.843,0.94,0.34,0.10
1784322698.3426,14:11:38.342,0.94,0.33,0.10
1784322698.843,14:11:38.843,0.94,0.33,0.10
1784322699.3428,14:11:39.342,0.82,0.56,-0.12
1784322699.8424,14:11:39.842,0.81,0.57,-0.09
1784322700.3425,14:11:40.342,0.82,0.57,-0.08
1784322700.8423,14:11:40.842,0.84,0.54,-0.05
1784322701.3419,14:11:41.341,0.85,0.53,-0.04
1784322701.8416,14:11:41.841,0.88,0.48,0.02
1784322702.3416,14:11:42.341,0.90,0.44,0.05
1784322702.841,14:11:42.841,0.90,0.43,0.05
1784322703.341,14:11:43.341,0.90,0.44,0.05
1784322703.841,14:11:43.841,0.88,0.47,0.02
1784322704.3404,14:11:44.340,0.88,0.47,0.02
1784322704.8402,14:11:44.840,0.87,0.49,-0.02
1784322705.3406,14:11:45.340,0.88,0.47,-0.08
1784322705.8398,14:11:45.839,0.94,0.32,-0.06
1784322706.34,14:11:46.340,0.95,0.31,-0.07
1784322706.8403,14:11:46.840,0.93,0.37,-0.04
1784322707.3399,14:11:47.339,0.95,0.27,0.14
1784322707.8399,14:11:47.839,0.95,0.30,0.14
1784322708.3401,14:11:48.340,0.94,0.30,0.14
1784322708.8393,14:11:48.839,0.94,0.31,0.14
1784322709.3388,14:11:49.338,0.94,0.31,0.15
1784322709.8392,14:11:49.839,0.94,0.30,0.15
1784322710.3392,14:11:50.339,0.94,0.31,0.13
1784322710.8389,14:11:50.838,0.94,0.33,0.09
1784322711.3391,14:11:51.339,0.93,0.36,0.08
1784322711.8385,14:11:51.838,0.93,0.34,0.09
1784322712.3387,14:11:52.338,0.93,0.34,0.11
1784322712.8387,14:11:52.838,0.94,0.31,0.13
1784322713.3388,14:11:53.338,0.95,0.29,0.13
1784322713.8382,14:11:53.838,0.95,0.28,0.14
1784322714.338,14:11:54.338,0.95,0.28,0.15
1784322714.8385,14:11:54.838,0.94,0.31,0.14
1784322715.3381,14:11:55.338,0.94,0.31,0.14
1784322715.8381,14:11:55.838,0.94,0.31,0.15
1784322716.3381,14:11:56.338,0.94,0.29,0.16
1784322716.8377,14:11:56.837,0.95,0.28,0.16
1784322717.3376,14:11:57.337,0.95,0.27,0.17
1784322717.8375,14:11:57.837,0.95,0.26,0.17
1784322718.3368,14:11:58.336,0.95,0.24,0.18
1784322718.8368,14:11:58.836,0.95,0.22,0.20
1784322719.337,14:11:59.337,0.95,0.22,0.20
1784322719.8366,14:11:59.836,0.95,0.25,0.18
1784322720.3364,14:12:00.336,0.95,0.24,0.18
1784322720.8364,14:12:00.836,0.95,0.24,0.19
1784322721.336,14:12:01.336,0.95,0.25,0.19
1784322721.8363,14:12:01.836,0.95,0.26,0.18
1784322722.3363,14:12:02.336,0.95,0.28,0.16
1784322722.8355,14:12:02.835,0.95,0.29,0.14
1784322723.3353,14:12:03.335,0.94,0.30,0.13
1784322723.8354,14:12:03.835,0.95,0.30,0.11
1784322724.3348,14:12:04.334,0.95,0.30,0.11
1784322724.8346,14:12:04.834,0.95,0.30,0.11
1784322725.335,14:12:05.335,0.95,0.28,0.13
1784322725.8344,14:12:05.834,0.95,0.27,0.15
1784322726.3342,14:12:06.334,0.96,0.23,0.17
1784322726.8347,14:12:06.834,0.96,0.23,0.18
1784322727.3339,14:12:07.333,0.96,0.22,0.18
1784322727.8335,14:12:07.833,0.96,0.25,0.16
1784322728.3335,14:12:08.333,0.95,0.27,0.13
1784322728.8336,14:12:08.833,0.95,0.28,0.12
1784322729.3334,14:12:09.333,0.95,0.29,0.11
1784322729.8332,14:12:09.833,0.95,0.30,0.10
1784322730.3336,14:12:10.333,0.95,0.30,0.08
1784322730.8334,14:12:10.833,0.95,0.32,0.07
1784322731.333,14:12:11.333,0.95,0.32,0.07
1784322731.833,14:12:11.833,0.94,0.34,0.03
1784322732.3323,14:12:12.332,0.94,0.34,0.00
1784322732.8323,14:12:12.832,0.95,0.32,-0.01
1784322733.3321,14:12:13.332,0.97,0.26,0.01
1784322733.8314,14:12:13.831,0.97,0.24,0.03
1784322734.3314,14:12:14.331,0.96,0.26,0.06
1784322734.8318,14:12:14.831,0.95,0.32,0.06
1784322735.3309,14:12:15.330,0.93,0.36,0.03
1784322735.8305,14:12:15.830,0.93,0.36,0.02
1784322736.3309,14:12:16.330,0.93,0.36,0.02
1784322736.8305,14:12:16.830,0.93,0.36,0.05
1784322737.3305,14:12:17.330,0.93,0.36,0.06
1784322737.8305,14:12:17.830,0.93,0.35,0.07
1784322738.33,14:12:18.330,0.93,0.35,0.07
1784322738.8295,14:12:18.829,0.94,0.34,0.10
1784322739.33,14:12:19.330,0.94,0.32,0.09
1784322739.8297,14:12:19.829,0.95,0.29,0.11
1784322740.3291,14:12:20.329,0.95,0.30,0.08
1784322740.8295,14:12:20.829,0.95,0.32,0.04
1784322741.3295,14:12:21.329,0.95,0.31,0.04
1784322741.8295,14:12:21.829,0.95,0.32,0.04
1784322742.3295,14:12:22.329,0.95,0.30,0.05
1784322742.8285,14:12:22.828,0.96,0.27,0.08
1784322743.3281,14:12:23.328,0.96,0.26,0.11
1784322743.8281,14:12:23.828,0.96,0.26,0.12
1784322744.3279,14:12:24.327,0.96,0.25,0.12
1784322744.8275,14:12:24.827,0.96,0.21,0.16
1784322745.3282,14:12:25.328,0.96,0.21,0.16
1784322745.8283,14:12:25.828,0.96,0.20,0.17
1784322746.3277,14:12:26.327,0.97,0.20,0.17
1784322746.8279,14:12:26.827,0.92,0.39,-0.01
1784322747.3277,14:12:27.327,0.95,0.30,0.02
1784322747.8273,14:12:27.827,0.98,0.20,0.01
1784322748.3276,14:12:28.327,0.98,0.19,-0.01
1784322748.8278,14:12:28.827,0.98,0.19,-0.01
1784322749.327,14:12:29.327,0.98,0.18,0.00
1784322749.8268,14:12:29.826,0.98,0.17,0.01
1784322750.3268,14:12:30.326,0.99,0.15,-0.02
1784322750.8266,14:12:30.826,0.99,0.13,-0.06
1784322751.3261,14:12:31.326,0.99,0.13,-0.07
1784322751.8263,14:12:31.826,0.99,0.13,-0.07
1784322752.3258,14:12:32.325,0.99,0.14,-0.03
1784322752.8256,14:12:32.825,0.98,0.22,-0.03
1784322753.3258,14:12:33.325,0.97,0.22,-0.04
1784322753.8258,14:12:33.825,0.97,0.21,-0.09
1784322754.3259,14:12:34.325,0.99,0.13,-0.06
1784322754.8259,14:12:34.825,1.00,0.08,-0.01
1784322755.3257,14:12:35.325,1.00,0.01,0.05
1784322755.8253,14:12:35.825,1.00,0.01,0.06
1784322756.3255,14:12:36.325,1.00,0.01,0.05
1784322756.8254,14:12:36.825,1.00,0.01,0.05
1784322757.3246,14:12:37.324,1.00,0.03,0.03
1784322757.825,14:12:37.825,1.00,0.04,0.05
1784322758.325,14:12:38.325,1.00,0.09,0.00
1784322758.8242,14:12:38.824,1.00,0.09,-0.01
1784322759.3245,14:12:39.324,1.00,0.09,-0.02
1784322759.8245,14:12:39.824,1.00,0.08,-0.02
1784322760.3235,14:12:40.323,0.99,0.12,-0.06
1784322760.8237,14:12:40.823,0.96,0.25,-0.11
1784322761.3239,14:12:41.323,0.99,0.10,0.09
1784322761.8231,14:12:41.823,0.98,0.18,0.07
1784322762.3232,14:12:42.323,0.97,0.23,0.05
1784322762.8232,14:12:42.823,0.97,0.23,0.06
1784322763.3228,14:12:43.322,0.83,0.51,-0.20
1784322763.8233,14:12:43.823,0.90,0.41,-0.13
1784322764.323,14:12:44.323,0.95,0.31,-0.10
1784322764.8226,14:12:44.822,0.97,0.23,-0.06
1784322765.3224,14:12:45.322,0.97,0.22,-0.05
1784322765.8222,14:12:45.822,0.98,0.21,-0.04
1784322766.3218,14:12:46.321,0.96,0.26,-0.06
1784322766.822,14:12:46.822,0.96,0.26,-0.07
1784322767.3221,14:12:47.322,0.97,0.23,-0.08
1784322767.8217,14:12:47.821,0.99,0.16,-0.05
1784322768.3217,14:12:48.321,0.99,0.17,-0.05
1784322768.8213,14:12:48.821,0.99,0.16,-0.04
1784322769.3211,14:12:49.321,0.99,0.16,-0.04
1784322769.8208,14:12:49.820,0.99,0.15,-0.04
1784322770.3208,14:12:50.320,0.99,0.13,0.02
1784322770.8207,14:12:50.820,0.99,0.13,0.01
1784322771.3203,14:12:51.320,0.99,0.12,-0.02
1784322771.8207,14:12:51.820,0.99,0.12,-0.06
1784322772.3206,14:12:52.320,0.99,0.12,-0.06
1784322772.8198,14:12:52.819,1.00,0.08,-0.01
1784322773.32,14:12:53.320,1.00,0.08,0.00
1784322773.8202,14:12:53.820,1.00,0.09,0.02
1784322774.3196,14:12:54.319,1.00,0.08,0.02
1784322774.8199,14:12:54.819,1.00,0.09,0.03
1784322775.3195,14:12:55.319,1.00,0.09,0.03
1784322775.8187,14:12:55.818,0.99,0.15,-0.02
1784322776.3187,14:12:56.318,0.99,0.15,-0.05
1784322776.8183,14:12:56.818,0.99,0.14,-0.06
1784322777.3179,14:12:57.317,0.99,0.12,-0.03
1784322777.8181,14:12:57.818,0.99,0.12,-0.02
1784322778.3179,14:12:58.317,0.99,0.16,-0.02
1784322778.8175,14:12:58.817,0.99,0.17,-0.01
1784322779.3175,14:12:59.317,0.98,0.21,-0.01
1784322779.8178,14:12:59.817,0.96,0.29,-0.03
1784322780.3174,14:13:00.317,0.98,0.09,0.18
1784322780.8176,14:13:00.817,0.98,0.13,0.17
1784322781.3176,14:13:01.317,0.98,0.14,0.17
1784322781.8173,14:13:01.817,0.97,0.13,0.18
1784322782.3174,14:13:02.317,0.97,0.15,0.17
1784322782.817,14:13:02.817,0.97,0.15,0.17
1784322783.3166,14:13:03.316,0.87,0.49,-0.06
1784322783.8162,14:13:03.816,0.87,0.49,-0.06
1784322784.3164,14:13:04.316,0.87,0.48,-0.08
1784322784.8161,14:13:04.816,0.91,0.40,-0.07
1784322785.3157,14:13:05.315,0.94,0.33,-0.01
1784322785.8163,14:13:05.816,0.94,0.33,-0.03
1784322786.3163,14:13:06.316,0.90,0.42,-0.10
1784322786.8153,14:13:06.815,0.98,0.18,0.09
1784322787.3158,14:13:07.315,0.98,0.19,0.09
1784322787.8154,14:13:07.815,0.98,0.18,0.10
1784322788.3148,14:13:08.314,0.98,0.18,0.11
1784322788.815,14:13:08.815,0.98,0.17,0.13
1784322789.3148,14:13:09.314,0.97,0.14,0.18
1784322789.8149,14:13:09.814,0.97,0.13,0.19
1784322790.3151,14:13:10.315,0.97,0.13,0.20
1784322790.8151,14:13:10.815,0.97,0.12,0.20
1784322791.3143,14:13:11.314,0.97,0.12,0.21
1784322791.8146,14:13:11.814,0.97,0.14,0.20
1784322792.3144,14:13:12.314,0.97,0.14,0.20
1784322792.8138,14:13:12.813,0.97,0.16,0.20
1784322793.3136,14:13:13.313,0.97,0.16,0.18
1784322793.8137,14:13:13.813,0.97,0.18,0.17
1784322794.3131,14:13:14.313,0.97,0.21,0.15
1784322794.8133,14:13:14.813,0.97,0.23,0.12
1784322795.3133,14:13:15.313,0.97,0.23,0.09
1784322795.8125,14:13:15.812,0.97,0.25,0.07
1784322796.313,14:13:16.313,0.96,0.25,0.08
1784322796.813,14:13:16.813,0.96,0.27,0.08
1784322797.3128,14:13:17.312,0.96,0.27,0.07
1784322797.8128,14:13:17.812,0.96,0.27,0.07
1784322798.3127,14:13:18.312,0.96,0.27,0.07
1784322798.8125,14:13:18.812,0.95,0.28,0.09
1784322799.3123,14:13:19.312,0.95,0.30,0.09
1784322799.8124,14:13:19.812,0.96,0.27,0.09
1784322800.3125,14:13:20.312,0.96,0.25,0.10
1784322800.8121,14:13:20.812,0.96,0.24,0.11
1784322801.3121,14:13:21.312,0.96,0.25,0.10
1784322801.8118,14:13:21.811,0.96,0.26,0.10
1784322802.3114,14:13:22.311,0.96,0.26,0.10
1784322802.8113,14:13:22.811,0.96,0.26,0.10
1784322803.3111,14:13:23.311,0.96,0.26,0.13
1784322803.8105,14:13:23.810,0.95,0.26,0.14
1784322804.3107,14:13:24.310,0.96,0.25,0.16
1784322804.8101,14:13:24.810,0.96,0.23,0.16
1784322805.3091,14:13:25.309,0.96,0.22,0.17
1784322805.8093,14:13:25.809,0.96,0.23,0.16
1784322806.3092,14:13:26.309,0.96,0.23,0.16
1784322806.8088,14:13:26.808,0.96,0.22,0.15
1784322807.3089,14:13:27.308,0.96,0.25,0.11
1784322807.8087,14:13:27.808,0.96,0.27,0.10
1784322808.3081,14:13:28.308,0.96,0.28,0.08
1784322808.8085,14:13:28.808,0.96,0.28,0.09
1784322809.309,14:13:29.309,0.95,0.30,0.09
1784322809.809,14:13:29.809,0.95,0.31,0.09
1784322810.309,14:13:30.309,0.95,0.30,0.11
1784322810.8086,14:13:30.808,0.95,0.29,0.11
1784322811.3085,14:13:31.308,0.96,0.26,0.13
1784322811.808,14:13:31.808,0.96,0.24,0.14
1784322812.3076,14:13:32.307,0.97,0.22,0.14
1784322812.807,14:13:32.807,0.97,0.21,0.14
1784322813.3073,14:13:33.307,0.82,0.56,-0.15
1784322813.8078,14:13:33.807,0.87,0.49,-0.10
1784322814.307,14:13:34.307,0.92,0.40,-0.05
1784322814.8066,14:13:34.806,0.92,0.38,-0.09
1784322815.3066,14:13:35.306,0.92,0.37,-0.13
1784322815.8063,14:13:35.806,0.92,0.36,-0.13
1784322816.3059,14:13:36.305,0.91,0.40,-0.12
1784322816.8061,14:13:36.806,0.88,0.45,-0.17
1784322817.3057,14:13:37.305,0.86,0.47,-0.20
1784322817.8054,14:13:37.805,0.86,0.47,-0.21
1784322818.3056,14:13:38.305,0.98,0.20,0.04
1784322818.8052,14:13:38.805,0.98,0.21,0.05
1784322819.3048,14:13:39.304,0.98,0.21,0.06
1784322819.805,14:13:39.805,0.97,0.22,0.08
1784322820.3045,14:13:40.304,0.97,0.22,0.08
1784322820.8037,14:13:40.803,0.97,0.23,0.08
1784322821.3039,14:13:41.303,0.97,0.22,0.09
1784322821.8039,14:13:41.803,0.97,0.23,0.08
1784322822.304,14:13:42.304,0.96,0.25,0.09
1784322822.8042,14:13:42.804,0.96,0.27,0.09
1784322823.3038,14:13:43.303,0.95,0.29,0.07
1784322823.8034,14:13:43.803,0.95,0.31,0.07
1784322824.3033,14:13:44.303,0.94,0.32,0.05
1784322824.803,14:13:44.803,0.94,0.33,0.05
1784322825.3022,14:13:45.302,0.94,0.32,0.06
1784322825.802,14:13:45.802,0.94,0.33,0.06
1784322826.3022,14:13:46.302,0.94,0.33,0.05
1784322826.8021,14:13:46.802,0.94,0.33,0.06
