Timestamp,Local time,Battery Level,Battery Percent,Wireless Signal,Overall Quality,Quality Sensor 0,Quality Sensor 1,Quality Sensor 2,Quality Sensor 3,Quality Sensor 4
"1784152444.3202","14:54:04.320","4","98","1.0","58","4","1","2","4","4"
"1784152444.82","14:54:04.820","4","98","1.0","58","4","1","2","4","4"
"1784152445.3197","14:54:05.319","4","98","1.0","58","4","1","2","4","4"
"1784152445.8191","14:54:05.819","4","98","1.0","75","4","1","4","4","4"
"1784152446.3196","14:54:06.319","4","98","1.0","58","4","1","2","4","4"
"1784152446.8196","14:54:06.819","4","98","1.0","58","4","1","2","4","4"
"1784152447.3191","14:54:07.319","4","98","1.0","58","4","1","2","4","4"
"1784152447.8191","14:54:07.819","4","98","1.0","83","4","2","4","4","4"
"1784152448.319","14:54:08.319","4","98","1.0","58","4","1","2","4","4"
"1784152448.8184","14:54:08.818","4","98","1.0","75","4","1","4","4","4"
"1784152449.3186","14:54:09.318","4","98","1.0","58","4","1","2","4","4"
"1784152449.8189","14:54:09.818","4","98","1.0","67","4","2","4","2","4"
"1784152450.3181","14:54:10.318","4","98","1.0","75","4","1","4","4","4"
"1784152450.818","14:54:10.818","4","98","1.0","83","4","2","4","4","4"
"1784152451.3178","14:54:11.317","4","98","1.0","75","4","1","4","4","4"
"1784152451.8178","14:54:11.817","4","98","1.0","50","2","2","2","2","2"
"1784152452.318","14:54:12.318","4","98","1.0","42","2","1","2","2","2"
"1784152452.8181","14:54:12.818","4","98","1.0","42","2","1","2","2","2"
"1784152453.3176","14:54:13.317","4","98","1.0","42","2","2","2","1","2"
"1784152453.8176","14:54:13.817","4","98","1.0","42","2","2","2","1","2"
"1784152454.3176","14:54:14.317","4","98","1.0","42","2","2","2","1","2"
"1784152454.8166","14:54:14.816","4","98","1.0","33","2","1","2","1","2"
"1784152455.3163","14:54:15.316","4","98","1.0","42","2","2","2","1","2"
"1784152455.8165","14:54:15.816","4","98","1.0","50","2","2","2","2","2"
"1784152456.3157","14:54:16.315","4","98","1.0","50","2","2","4","2","4"
"1784152456.8155","14:54:16.815","4","98","1.0","83","4","2","4","4","4"
"1784152457.316","14:54:17.316","4","98","1.0","42","4","1","2","4","2"
"1784152457.8162","14:54:17.816","4","98","1.0","58","4","1","2","4","4"
"1784152458.3157","14:54:18.315","4","98","1.0","58","4","1","2","4","4"
"1784152458.8161","14:54:18.816","4","98","1.0","75","4","1","4","4","4"
"1784152459.3159","14:54:19.315","4","98","1.0","58","4","1","2","4","4"
"1784152459.8152","14:54:19.815","4","98","1.0","75","4","1","4","4","4"
"1784152460.3152","14:54:20.315","4","98","1.0","83","4","2","4","4","4"
"1784152460.8155","14:54:20.815","4","98","1.0","75","4","1","4","4","4"
"1784152461.3149","14:54:21.314","4","98","1.0","83","4","2","4","4","4"
"1784152461.8152","14:54:21.815","4","98","1.0","58","4","1","2","4","4"
"1784152462.3148","14:54:22.314","4","98","1.0","50","2","2","2","4","2"
"1784152462.8145","14:54:22.814","4","98","1.0","50","2","2","2","4","2"
"1784152463.3145","14:54:23.314","4","98","1.0","42","2","1","2","4","4"
"1784152463.8148","14:54:23.814","4","98","1.0","42","2","1","2","4","2"
"1784152464.3144","14:54:24.314","4","98","1.0","42","2","1","2","2","2"
"1784152464.8145","14:54:24.814","4","98","1.0","42","2","1","2","2","2"
"1784152465.3145","14:54:25.314","4","98","1.0","42","2","1","2","2","2"
"1784152465.8141","14:54:25.814","4","98","1.0","50","2","2","2","2","2"
"1784152466.3136","14:54:26.313","4","98","1.0","42","2","1","2","2","2"
"1784152466.8136","14:54:26.813","4","98","1.0","33","2","1","2","1","2"
"1784152467.3133","14:54:27.313","4","98","1.0","42","2","1","2","2","2"
"1784152467.8131","14:54:27.813","4","98","1.0","42","2","2","2","1","2"
"1784152468.3132","14:54:28.313","4","98","1.0","42","2","2","2","1","2"
"1784152468.8126","14:54:28.812","4","98","1.0","42","2","2","2","1","2"
"1784152469.3124","14:54:29.312","4","98","1.0","42","2","1","2","2","2"
"1784152469.8122","14:54:29.812","4","98","1.0","58","2","1","4","4","4"
"1784152470.3123","14:54:30.312","4","98","1.0","42","2","1","2","4","4"
"1784152470.8123","14:54:30.812","4","98","1.0","42","2","1","2","4","4"
"1784152471.3123","14:54:31.312","4","98","1.0","67","2","2","4","4","4"
"1784152471.8124","14:54:31.812","4","98","1.0","67","2","2","4","4","4"
"1784152472.3122","14:54:32.312","4","98","1.0","42","4","1","2","4","2"
"1784152472.8119","14:54:32.811","4","98","1.0","42","2","1","2","4","4"
"1784152473.3117","14:54:33.311","4","98","1.0","58","2","1","4","4","4"
"1784152473.8116","14:54:33.811","4","98","1.0","67","2","2","4","4","4"
"1784152474.3114","14:54:34.311","4","98","1.0","67","2","2","4","4","4"
"1784152474.8111","14:54:34.811","4","98","1.0","50","2","2","4","4","2"
"1784152475.3103","14:54:35.310","4","98","1.0","67","2","2","4","4","4"
"1784152475.8104","14:54:35.810","4","98","1.0","67","2","2","4","4","4"
"1784152476.3104","14:54:36.310","4","98","1.0","67","2","2","4","4","4"
"1784152476.8097","14:54:36.809","4","98","1.0","67","2","2","4","4","4"
"1784152477.3097","14:54:37.309","4","98","1.0","58","2","1","4","4","4"
"1784152477.8099","14:54:37.809","4","98","1.0","58","2","1","4","4","4"
"1784152478.3096","14:54:38.309","4","98","1.0","50","2","2","2","2","2"
"1784152478.8096","14:54:38.809","4","98","1.0","42","2","2","2","1","2"
"1784152479.3093","14:54:39.309","4","98","1.0","33","2","1","2","1","2"
"1784152479.8087","14:54:39.808","4","98","1.0","33","2","1","2","1","2"
"1784152480.3086","14:54:40.308","4","98","1.0","33","2","1","2","1","2"
"1784152480.8086","14:54:40.808","4","98","1.0","42","2","1","2","2","2"
"1784152481.3085","14:54:41.308","4","98","1.0","42","2","2","2","1","2"
"1784152481.8087","14:54:41.808","4","98","1.0","42","2","2","2","1","2"
"1784152482.3087","14:54:42.308","4","98","1.0","42","2","2","2","1","2"
"1784152482.8085","14:54:42.808","4","98","1.0","50","2","2","2","2","2"
"1784152483.3083","14:54:43.308","4","98","1.0","83","4","2","4","4","4"
