DataTime,Timestamp,Trial,MoveNumber,From,To,MoveDurationSeconds,HelpUsed,ErrorsThisMove,ErrorDetails
2026-07-15_15-52-42.552,1784155962.552,1,1,A,B,8,FALSE,0,
2026-07-15_15-52-55.566,1784155975.566,1,2,A,C,13,FALSE,0,
2026-07-15_15-53-09.870,1784155989.870,1,3,B,C,14,FALSE,0,
2026-07-15_15-53-22.629,1784156002.629,1,4,A,B,12,FALSE,0,
2026-07-15_15-53-52.078,1784156032.078,1,5,C,B,29,FALSE,0,
2026-07-15_15-54-05.195,1784156045.195,1,6,C,A,13,FALSE,0,
2026-07-15_15-54-17.707,1784156057.707,1,7,B,A,12,FALSE,0,
2026-07-15_15-54-30.051,1784156070.051,1,8,B,C,12,FALSE,0,
2026-07-15_15-54-40.243,1784156080.243,1,9,A,B,10,FALSE,0,
2026-07-15_15-54-56.760,1784156096.760,1,10,A,C,16,FALSE,0,
2026-07-15_15-55-10.012,1784156110.012,1,11,B,C,13,FALSE,0,
2026-07-15_15-55-20.853,1784156120.853,1,12,A,B,10,FALSE,0,
2026-07-15_15-55-37.897,1784156137.897,1,13,C,B,17,FALSE,0,
2026-07-15_15-55-57.085,1784156157.085,1,14,C,A,19,FALSE,1,2026-07-15_15-55-41.370 - Invalid move from C to B
2026-07-15_15-56-09.003,1784156169.003,1,15,B,C,11,FALSE,0,
2026-07-15_15-56-20.390,1784156180.390,1,16,A,B,11,FALSE,0,
2026-07-15_15-56-46.771,1784156206.771,1,17,C,B,26,FALSE,0,
2026-07-15_15-57-34.443,1784156254.443,1,18,C,A,47,FALSE,0,
2026-07-15_15-57-51.506,1784156271.506,1,19,B,A,17,FALSE,0,
2026-07-15_15-58-07.976,1784156287.976,1,20,B,C,16,FALSE,0,
2026-07-15_15-58-21.918,1784156301.918,1,21,A,C,13,FALSE,0,
2026-07-15_15-58-35.509,1784156315.509,1,22,A,B,13,FALSE,0,
2026-07-15_15-58-58.546,1784156338.546,1,23,C,A,23,FALSE,0,
2026-07-15_15-59-10.607,1784156350.607,1,24,C,B,12,FALSE,0,
2026-07-15_15-59-21.280,1784156361.280,1,25,A,B,10,FALSE,0,
2026-07-15_15-59-33.720,1784156373.720,1,26,A,C,12,FALSE,0,
2026-07-15_15-59-52.873,1784156392.873,1,27,B,A,19,FALSE,0,
2026-07-15_16-00-04.448,1784156404.448,1,28,B,C,11,FALSE,0,
2026-07-15_16-00-23.146,1784156423.146,1,29,A,C,18,FALSE,0,
2026-07-15_16-00-37.970,1784156437.970,1,30,B,A,14,FALSE,0,
2026-07-15_16-00-52.757,1784156452.757,1,31,C,A,14,FALSE,0,
2026-07-15_16-01-06.395,1784156466.395,1,32,C,B,13,FALSE,0,
2026-07-15_16-01-17.520,1784156477.520,1,33,A,B,11,FALSE,0,
2026-07-15_16-01-41.625,1784156501.625,1,34,B,C,24,FALSE,0,
2026-07-15_16-01-53.578,1784156513.578,1,35,B,A,11,FALSE,0,
2026-07-15_16-02-13.049,1784156533.049,1,36,C,A,19,FALSE,0,
2026-07-15_16-02-26.174,1784156546.174,1,37,B,C,13,FALSE,0,
2026-07-15_16-02-39.592,1784156559.592,1,38,A,C,13,FALSE,0,
2026-07-15_16-02-51.213,1784156571.213,1,39,A,B,11,FALSE,0,
2026-07-15_16-03-06.165,1784156586.165,1,40,C,A,14,FALSE,0,
2026-07-15_16-03-26.750,1784156606.750,1,41,B,C,20,FALSE,0,
2026-07-15_16-03-39.126,1784156619.126,1,42,A,C,12,FALSE,0,
2026-07-15_16-04-00.130,1784156640.130,1,43,A,B,21,FALSE,0,
2026-07-15_16-04-10.850,1784156650.850,1,44,C,B,10,FALSE,0,
2026-07-15_16-04-41.621,1784156681.621,1,45,C,A,30,FALSE,0,
2026-07-15_16-05-19.261,1784156719.261,1,46,B,C,37,TRUE,0,
2026-07-15_16-05-47.954,1784156747.954,1,47,A,B,28,FALSE,0,
2026-07-15_16-06-17.089,1784156777.089,1,48,C,A,29,FALSE,0,
2026-07-15_16-06-28.860,1784156788.860,1,49,B,C,11,FALSE,0,
2026-07-15_16-07-01.631,1784156821.631,1,50,A,C,32,FALSE,0,
2026-07-15_16-07-15.305,1784156835.305,1,51,B,A,13,FALSE,0,
2026-07-15_16-07-29.637,1784156849.637,1,52,C,B,14,FALSE,0,
2026-07-15_16-08-12.953,1784156892.953,1,53,B,A,43,FALSE,0,
2026-07-15_16-08-24.072,1784156904.072,1,54,C,B,11,FALSE,0,
2026-07-15_16-08-34.692,1784156914.692,1,55,A,B,10,FALSE,0,
2026-07-15_16-08-46.899,1784156926.899,1,56,A,C,12,FALSE,0,
2026-07-15_16-08-59.808,1784156939.808,1,57,B,A,12,FALSE,0,
2026-07-15_16-09-11.850,1784156951.850,1,58,B,C,12,FALSE,0,
2026-07-15_16-09-24.065,1784156964.065,1,59,A,C,12,FALSE,0,
2026-07-15_16-09-35.846,1784156975.846,1,60,A,B,11,FALSE,0,
2026-07-15_16-10-04.328,1784157004.328,1,61,C,B,28,FALSE,0,
2026-07-15_16-10-16.112,1784157016.112,1,62,C,A,11,FALSE,0,
2026-07-15_16-10-28.244,1784157028.244,1,63,B,A,12,FALSE,0,
2026-07-15_16-10-42.855,1784157042.855,1,64,C,B,14,FALSE,0,
2026-07-15_16-10-54.994,1784157054.994,1,65,A,C,12,FALSE,0,
2026-07-15_16-11-06.635,1784157066.635,1,66,A,B,11,FALSE,0,
2026-07-15_16-11-17.751,1784157077.751,1,67,C,B,11,FALSE,0,
2026-07-15_16-11-30.144,1784157090.144,1,68,C,A,12,FALSE,0,
2026-07-15_16-11-49.773,1784157109.773,1,69,B,A,19,FALSE,0,
2026-07-15_16-12-00.888,1784157120.888,1,70,B,C,11,FALSE,0,
2026-07-15_16-12-13.860,1784157133.860,1,71,A,C,12,FALSE,0,
2026-07-15_16-12-32.212,1784157152.212,1,72,B,A,18,FALSE,0,
2026-07-15_16-12-44.757,1784157164.757,1,73,C,B,12,FALSE,0,
2026-07-15_16-12-57.344,1784157177.344,1,74,C,A,12,FALSE,0,
2026-07-15_16-14-24.826,1784157264.826,2,1,A,B,8,FALSE,0,
2026-07-15_16-14-36.874,1784157276.874,2,2,A,C,12,FALSE,0,
2026-07-15_16-14-49.018,1784157289.018,2,3,B,C,12,FALSE,0,
2026-07-15_16-14-59.728,1784157299.728,2,4,A,B,10,FALSE,0,
2026-07-15_16-15-21.534,1784157321.534,2,5,C,A,21,FALSE,0,
2026-07-15_16-15-33.700,1784157333.700,2,6,C,B,12,FALSE,0,
2026-07-15_16-15-44.324,1784157344.324,2,7,A,B,10,FALSE,0,
2026-07-15_16-15-56.533,1784157356.533,2,8,A,C,12,FALSE,0,
2026-07-15_16-16-16.678,1784157376.678,2,9,B,A,20,FALSE,0,
2026-07-15_16-16-29.612,1784157389.612,2,10,B,C,12,FALSE,0,
2026-07-15_16-17-01.166,1784157421.166,2,11,A,C,31,FALSE,0,
2026-07-15_16-17-15.200,1784157435.200,2,12,B,A,14,FALSE,0,
2026-07-15_16-17-28.890,1784157448.890,2,13,C,A,13,FALSE,0,
2026-07-15_16-17-40.358,1784157460.358,2,14,C,B,11,FALSE,0,
2026-07-15_16-17-57.602,1784157477.602,2,15,A,B,17,FALSE,0,
2026-07-15_16-18-18.251,1784157498.251,2,16,A,C,20,FALSE,0,
2026-07-15_16-18-31.605,1784157511.605,2,17,B,A,13,FALSE,0,
2026-07-15_16-18-43.805,1784157523.805,2,18,B,C,12,FALSE,0,
2026-07-15_16-18-55.869,1784157535.869,2,19,A,C,12,FALSE,0,
2026-07-15_16-19-07.476,1784157547.476,2,20,A,B,11,FALSE,0,
2026-07-15_16-19-26.178,1784157566.178,2,21,C,B,18,FALSE,0,
2026-07-15_16-19-38.091,1784157578.091,2,22,C,A,11,FALSE,0,
2026-07-15_16-19-52.718,1784157592.718,2,23,B,A,14,FALSE,0,
2026-07-15_16-20-05.710,1784157605.710,2,24,C,B,12,FALSE,0,
2026-07-15_16-20-39.954,1784157639.954,2,25,A,C,34,FALSE,0,
2026-07-15_16-20-51.049,1784157651.049,2,26,A,B,11,FALSE,0,
2026-07-15_16-21-03.067,1784157663.067,2,27,C,B,12,FALSE,0,
2026-07-15_16-21-16.332,1784157676.332,2,28,C,A,13,FALSE,0,
2026-07-15_16-21-31.948,1784157691.948,2,29,B,A,15,FALSE,0,
2026-07-15_16-21-42.952,1784157702.952,2,30,B,C,11,FALSE,0,
2026-07-15_16-22-19.743,1784157739.743,2,31,A,B,36,FALSE,0,
2026-07-15_16-22-36.416,1784157756.416,2,32,C,A,16,FALSE,0,
2026-07-15_16-22-50.645,1784157770.645,2,33,B,A,14,FALSE,0,
2026-07-15_16-23-02.675,1784157782.675,2,34,B,C,12,FALSE,0,
2026-07-15_16-23-28.961,1784157808.961,2,35,A,B,26,FALSE,0,
2026-07-15_16-23-42.278,1784157822.278,2,36,A,C,13,FALSE,0,
2026-07-15_16-24-43.308,1784157883.308,2,37,C,A,61,FALSE,0,
2026-07-15_16-25-10.226,1784157910.226,2,38,A,C,26,TRUE,0,
2026-07-15_16-25-23.397,1784157923.397,2,39,B,C,13,TRUE,0,
2026-07-15_16-25-43.095,1784157943.095,2,40,A,B,19,FALSE,0,
2026-07-15_16-26-00.821,1784157960.821,2,41,C,B,17,TRUE,0,
2026-07-15_16-26-25.494,1784157985.494,2,42,C,A,24,FALSE,0,
2026-07-15_16-26-45.089,1784158005.089,2,43,B,A,19,FALSE,0,
2026-07-15_16-26-57.416,1784158017.416,2,44,C,B,12,FALSE,0,
2026-07-15_16-27-09.047,1784158029.047,2,45,A,C,11,FALSE,0,
2026-07-15_16-27-20.292,1784158040.292,2,46,A,B,11,FALSE,0,
2026-07-15_16-27-32.595,1784158052.595,2,47,C,B,12,FALSE,0,
2026-07-15_16-27-45.419,1784158065.419,2,48,A,C,12,FALSE,0,
2026-07-15_16-28-04.181,1784158084.181,2,49,B,C,18,TRUE,0,
2026-07-15_16-28-14.760,1784158094.760,2,50,B,A,10,FALSE,0,
2026-07-15_16-28-29.339,1784158109.339,2,51,C,A,14,FALSE,0,
2026-07-15_16-28-41.073,1784158121.073,2,52,B,C,11,FALSE,0,
2026-07-15_16-28-54.018,1784158134.018,2,53,A,B,12,FALSE,0,
2026-07-15_16-29-07.473,1784158147.473,2,54,A,C,13,FALSE,0,
2026-07-15_16-29-22.092,1784158162.092,2,55,B,C,14,FALSE,0,
2026-07-15_16-29-33.882,1784158173.882,2,56,B,A,11,FALSE,0,
2026-07-15_16-29-56.029,1784158196.029,2,57,C,B,22,FALSE,0,
2026-07-15_16-30-08.622,1784158208.622,2,58,C,A,12,FALSE,0,
2026-07-15_16-30-24.345,1784158224.345,2,59,B,A,15,FALSE,0,
2026-07-15_16-30-42.656,1784158242.656,2,60,A,C,18,TRUE,0,
2026-07-15_16-31-03.726,1784158263.726,2,61,A,B,21,FALSE,0,
2026-07-15_16-31-23.638,1784158283.638,2,62,C,A,19,FALSE,0,
2026-07-15_16-32-07.418,1784158327.418,2,63,B,C,43,FALSE,0,
2026-07-15_16-32-59.100,1784158379.100,2,64,C,B,51,TRUE,0,
2026-07-15_16-33-11.261,1784158391.261,2,65,A,B,12,TRUE,0,
2026-07-15_16-33-24.821,1784158404.821,2,66,C,A,13,TRUE,0,
2026-07-15_16-33-48.966,1784158428.966,2,67,B,C,24,FALSE,0,
2026-07-15_16-34-00.815,1784158440.815,2,68,B,A,11,FALSE,0,
2026-07-15_16-34-13.137,1784158453.137,2,69,C,A,12,FALSE,0,
2026-07-15_16-34-26.141,1784158466.141,2,70,B,C,13,FALSE,0,
2026-07-15_16-34-51.929,1784158491.929,2,71,A,C,25,FALSE,0,
2026-07-15_16-35-04.231,1784158504.231,2,72,A,B,12,FALSE,0,
2026-07-15_16-35-16.914,1784158516.914,2,73,C,B,12,FALSE,0,
2026-07-15_16-35-36.616,1784158536.616,2,74,A,C,19,FALSE,0,
