Timestamp,Local time,Action Eye,Action Upper Face,Power Upper Face,Action Lower Face,Power Lower Face
1784589597.4389,16:19:57.438,neutral,frown,0.799942,neutral,0.0
1784589597.4702,16:19:57.470,neutral,frown,0.799942,neutral,0.0
1784589597.5014,16:19:57.501,neutral,frown,0.20321,neutral,0.0
1784589597.5325,16:19:57.532,neutral,frown,0.20321,neutral,0.0
1784589597.5636,16:19:57.563,neutral,frown,0.20321,neutral,0.0
1784589597.5948,16:19:57.594,neutral,frown,0.20321,neutral,0.0
1784589597.6259,16:19:57.625,neutral,frown,0.03118,neutral,0.0
1784589597.657,16:19:57.657,neutral,frown,0.03118,neutral,0.0
1784589597.6882,16:19:57.688,neutral,frown,0.03118,neutral,0.0
1784589597.7195,16:19:57.719,neutral,frown,0.03118,neutral,0.0
1784589597.7509,16:19:57.750,neutral,frown,0.037334,neutral,0.0
1784589597.7822,16:19:57.782,neutral,frown,0.037334,neutral,0.0
1784589597.8135,16:19:57.813,neutral,frown,0.037334,neutral,0.0
1784589597.8449,16:19:57.844,neutral,frown,0.037334,neutral,0.0
1784589597.8762,16:19:57.876,lookR,frown,0.047479,neutral,0.0
1784589597.9074,16:19:57.907,lookR,frown,0.047479,neutral,0.0
1784589597.9385,16:19:57.938,lookR,frown,0.047479,neutral,0.0
1784589597.9696,16:19:57.969,lookR,frown,0.047479,neutral,0.0
1784589598.0008,16:19:58.000,lookR,frown,0.044131,neutral,0.0
1784589598.0319,16:19:58.031,lookR,frown,0.044131,neutral,0.0
1784589598.0631,16:19:58.063,lookR,frown,0.044131,neutral,0.0
1784589598.0944,16:19:58.094,lookR,frown,0.044131,neutral,0.0
1784589598.1257,16:19:58.125,lookR,frown,0.035952,neutral,0.0
1784589598.1571,16:19:58.157,neutral,frown,0.035952,neutral,0.0
1784589598.1884,16:19:58.188,neutral,frown,0.035952,neutral,0.0
1784589598.2197,16:19:58.219,neutral,frown,0.035952,neutral,0.0
1784589598.2511,16:19:58.251,neutral,frown,0.028703,neutral,0.0
1784589598.2824,16:19:58.282,neutral,frown,0.028703,neutral,0.0
1784589598.3137,16:19:58.313,neutral,frown,0.028703,neutral,0.0
1784589598.3448,16:19:58.344,neutral,frown,0.028703,neutral,0.0
1784589598.3759,16:19:58.375,neutral,frown,0.023585,neutral,0.0
1784589598.4071,16:19:58.407,neutral,frown,0.023585,neutral,0.0
1784589598.4384,16:19:58.438,neutral,frown,0.023585,neutral,0.0
1784589598.4698,16:19:58.469,neutral,frown,0.023585,neutral,0.0
1784589598.5011,16:19:58.501,neutral,frown,0.030089,neutral,0.0
1784589598.5324,16:19:58.532,neutral,frown,0.030089,neutral,0.0
1784589598.5638,16:19:58.563,neutral,frown,0.030089,neutral,0.0
1784589598.5951,16:19:58.595,neutral,frown,0.030089,neutral,0.0
1784589598.6265,16:19:58.626,neutral,surprise,0.021123,neutral,0.0
1784589598.6576,16:19:58.657,neutral,surprise,0.021123,neutral,0.0
1784589598.6887,16:19:58.688,neutral,surprise,0.021123,neutral,0.0
1784589598.7199,16:19:58.719,neutral,surprise,0.021123,neutral,0.0
1784589598.751,16:19:58.751,neutral,surprise,0.021342,neutral,0.0
1784589598.7822,16:19:58.782,neutral,surprise,0.021342,neutral,0.0
1784589598.8133,16:19:58.813,neutral,surprise,0.021342,neutral,0.0
1784589598.8446,16:19:58.844,neutral,surprise,0.021342,neutral,0.0
1784589598.876,16:19:58.876,neutral,surprise,0.02334,neutral,0.0
1784589598.9073,16:19:58.907,neutral,surprise,0.02334,neutral,0.0
1784589598.9386,16:19:58.938,neutral,surprise,0.02334,neutral,0.0
1784589598.97,16:19:58.970,neutral,surprise,0.02334,neutral,0.0
1784589599.0013,16:19:59.001,neutral,surprise,0.027623,neutral,0.0
1784589599.0327,16:19:59.032,neutral,surprise,0.027623,neutral,0.0
1784589599.0638,16:19:59.063,neutral,surprise,0.027623,neutral,0.0
1784589599.0949,16:19:59.094,neutral,surprise,0.027623,neutral,0.0
1784589599.1261,16:19:59.126,blink,frown,0.068417,neutral,0.0
1784589599.1572,16:19:59.157,blink,frown,0.068417,neutral,0.0
1784589599.1884,16:19:59.188,blink,frown,0.068417,neutral,0.0
1784589599.2197,16:19:59.219,blink,frown,0.068417,neutral,0.0
1784589599.251,16:19:59.251,blink,frown,0.061106,neutral,0.0
1784589599.2824,16:19:59.282,neutral,frown,0.061106,neutral,0.0
1784589599.3137,16:19:59.313,neutral,frown,0.061106,neutral,0.0
1784589599.3451,16:19:59.345,neutral,frown,0.061106,neutral,0.0
1784589599.3764,16:19:59.376,neutral,frown,0.088763,neutral,0.0
1784589599.4077,16:19:59.407,neutral,frown,0.088763,neutral,0.0
1784589599.4391,16:19:59.439,neutral,frown,0.088763,neutral,0.0
1784589599.4702,16:19:59.470,neutral,frown,0.088763,neutral,0.0
1784589599.5013,16:19:59.501,neutral,frown,0.090969,neutral,0.0
1784589599.5325,16:19:59.532,blink,frown,0.090969,neutral,0.0
1784589599.5636,16:19:59.563,blink,frown,0.090969,neutral,0.0
1784589599.595,16:19:59.595,blink,frown,0.090969,neutral,0.0
1784589599.6263,16:19:59.626,blink,frown,0.025157,neutral,0.0
1784589599.6576,16:19:59.657,blink,frown,0.025157,neutral,0.0
1784589599.689,16:19:59.689,neutral,frown,0.025157,neutral,0.0
1784589599.7203,16:19:59.720,blink,frown,0.025157,neutral,0.0
1784589599.7515,16:19:59.751,blink,frown,0.026394,neutral,0.0
1784589599.7826,16:19:59.782,blink,frown,0.026394,neutral,0.0
1784589599.8137,16:19:59.813,blink,frown,0.026394,neutral,0.0
1784589599.8449,16:19:59.844,blink,frown,0.026394,neutral,0.0
1784589599.876,16:19:59.876,neutral,frown,0.029895,neutral,0.0
1784589599.9071,16:19:59.907,neutral,frown,0.029895,neutral,0.0
1784589599.9385,16:19:59.938,neutral,frown,0.029895,neutral,0.0
1784589599.9698,16:19:59.969,neutral,frown,0.029895,neutral,0.0
1784589600.0012,16:20:00.001,neutral,frown,0.059933,neutral,0.0
1784589600.0325,16:20:00.032,neutral,frown,0.059933,neutral,0.0
1784589600.0638,16:20:00.063,neutral,frown,0.059933,neutral,0.0
1784589600.0952,16:20:00.095,neutral,frown,0.059933,neutral,0.0
1784589600.1265,16:20:00.126,neutral,frown,0.093639,neutral,0.0
1784589600.1579,16:20:00.157,neutral,frown,0.093639,neutral,0.0
1784589600.189,16:20:00.189,neutral,frown,0.093639,neutral,0.0
1784589600.2201,16:20:00.220,neutral,frown,0.093639,neutral,0.0
1784589600.2513,16:20:00.251,neutral,frown,0.032545,neutral,0.0
1784589600.2824,16:20:00.282,neutral,frown,0.032545,neutral,0.0
