DateTime,Timestamp,Trial,MoveNumber,From,To,MoveDurationSeconds,HelpUsed,ErrorsThisMove,ErrorDetails
2026-07-13_10-45-44.451,1783964744.451,1,1,A,C,9,FALSE,0,
2026-07-13_10-45-57.314,1783964757.314,1,2,A,B,12,FALSE,0,
2026-07-13_10-46-10.278,1783964770.278,1,3,C,B,12,FALSE,0,
2026-07-13_10-46-23.048,1783964783.048,1,4,A,C,12,FALSE,0,
2026-07-13_10-46-36.781,1783964796.781,1,5,B,A,13,FALSE,0,
2026-07-13_10-46-49.919,1783964809.919,1,6,B,C,13,FALSE,0,
2026-07-13_10-47-05.505,1783964825.505,1,7,A,C,15,FALSE,0,
2026-07-13_10-47-19.004,1783964839.004,1,8,A,B,13,FALSE,0,
2026-07-13_10-47-50.888,1783964870.888,1,9,C,A,31,FALSE,0,
2026-07-13_10-48-05.129,1783964885.129,1,10,C,B,14,FALSE,0,
2026-07-13_10-48-34.849,1783964914.849,1,11,A,B,29,FALSE,0,
2026-07-13_10-48-49.021,1783964929.021,1,12,C,A,14,FALSE,0,
2026-07-13_10-49-01.924,1783964941.924,1,13,B,C,12,FALSE,0,
2026-07-13_10-49-14.036,1783964954.036,1,14,B,A,12,FALSE,0,
2026-07-13_10-49-27.265,1783964967.265,1,15,C,A,13,FALSE,0,
2026-07-13_10-49-40.878,1783964980.878,1,16,B,C,13,FALSE,0,
2026-07-13_10-49-54.629,1783964994.629,1,17,A,C,13,FALSE,0,
2026-07-13_10-50-09.783,1783965009.783,1,18,A,B,15,FALSE,0,
2026-07-13_10-50-25.685,1783965025.685,1,19,C,B,15,FALSE,0,
2026-07-13_10-50-39.206,1783965039.206,1,20,A,C,13,FALSE,0,
2026-07-13_10-51-09.768,1783965069.768,1,21,B,A,30,FALSE,0,
2026-07-13_10-51-23.099,1783965083.099,1,22,B,C,13,FALSE,0,
2026-07-13_10-51-35.143,1783965095.143,1,23,A,C,12,FALSE,0,
2026-07-13_10-51-46.844,1783965106.844,1,24,A,B,11,FALSE,0,
2026-07-13_10-52-02.451,1783965122.451,1,25,C,A,15,FALSE,0,
2026-07-13_10-52-14.673,1783965134.673,1,26,C,B,12,FALSE,0,
2026-07-13_10-52-26.212,1783965146.212,1,27,A,B,11,FALSE,0,
2026-07-13_10-52-40.429,1783965160.429,1,28,C,A,14,FALSE,0,
2026-07-13_10-52-52.167,1783965172.167,1,29,B,C,11,FALSE,0,
2026-07-13_10-53-04.152,1783965184.152,1,30,B,A,11,FALSE,0,
2026-07-13_10-53-19.160,1783965199.160,1,31,C,A,15,FALSE,0,
2026-07-13_10-55-02.750,1783965302.750,1,32,C,B,103,TRUE,0,
2026-07-13_10-55-54.759,1783965354.759,1,33,A,B,52,FALSE,0,
2026-07-13_10-56-08.288,1783965368.288,1,34,A,C,13,FALSE,0,
2026-07-13_10-56-20.475,1783965380.475,1,35,B,C,12,FALSE,0,
